model,checkpoint,stratum,sample_count,point_global_relative_rmse_pct,sample_first_cv_relative_rmse_pct,raw_cv_weighted_rmse_K,amplitude_ratio,spatial_correlation,hotspot_cv_weighted_rmse_K,top5_cv_weighted_rmse_K,strong_q_cv_weighted_rmse_K,low_deltaT_background_bias_K,low_deltaT_background_rmse_K,low_deltaT_background_over_ratio,shape_cv_rmse,scale_log_rmse,legacy_normalized_valid_base_mse,signed_scale_error_mean,signed_scale_error_median
O075,legacy_best,scale_signed_central_p10_p90,102,16.949992025305587,16.309537949617773,0.11420888265518987,1.000903055585556,0.9809688938223312,0.2077018706459058,0.3036156212348937,0.25076360022353505,0.005360405439984786,0.017590135645560175,0.4416633053289378,0.14281635421840858,0.08201358481273235,0.01673682930820391,-0.002455978523491027,-0.002403083607621845
O075,legacy_best,scale_signed_high_p90,13,29.116211524403617,33.94296251686581,0.21124340223860913,1.2750154179087967,0.9786040584802893,0.5436765320099816,0.8218518488020838,0.5564063559173875,0.018527845972634176,0.03740264873723639,0.5200293246565159,0.16600331931196033,0.25214414151264974,0.05476509774532506,0.23979229646651506,0.22705100419013505
O075,legacy_best,scale_abs_error_top10pct,13,37.69894807245859,38.831491147086076,0.37021468994587375,0.8574870401468618,0.9750859883649228,0.9389537854886988,1.6460695128243674,1.2293193925447343,0.006460029073954139,0.025747858811168478,0.4738595736578856,0.19224232856902976,0.3827874761889444,0.1767541362095881,-0.21085038826876362,-0.37444803945265415
O075,final,Q1,32,17.89456204217871,17.87437758031144,0.01806057949850167,0.9945687007764361,0.9770221883171426,0.03394119924794808,0.048183001611991,0.029140159860939832,0.002025526574219808,0.004668011694412907,0.4505388308593436,0.14707812585152547,0.11116653299834517,0.0004383819026061239,-0.011603359590028423,-0.023730372258044603
O075,final,Q2,32,27.262254447170253,22.44354592966711,0.06785795410879032,1.0070681430283241,0.9771527827624047,0.15348620512962396,0.24745130956695105,0.1603421988315547,0.005418271692201954,0.01292784063697582,0.4341295937129591,0.16097295923576932,0.19284183831174573,0.005852241949240047,-0.0106531334318436,0.017479340562560456
O075,final,Q3,32,20.17604120149097,18.22243989850852,0.10923016340040981,1.0301598054671448,0.98510948348124,0.28025171155978246,0.43301885212653135,0.297034697807933,0.005747718745910224,0.015552900832268533,0.45448208271709845,0.13732066931588283,0.12384920720803987,0.015312034832675783,0.022405203434254478,0.02830745740173782
O075,final,Q4,32,25.077730663159752,20.578685771664475,0.32326286098149404,0.9508292837414014,0.9810729739036926,0.773899061827502,1.1848703582088471,1.054067856250212,0.008689586471775968,0.038112555227206246,0.3994933741324446,0.15211123853187875,0.19546040228483738,0.1342570428330046,-0.06634098984609552,-0.018807496332299136
O075,final,nominal_to_hard,81,21.442464277741514,21.40378133933555,0.15875411515980306,1.0014993426125653,0.9812539990644185,0.359418815397393,0.5820385213754409,0.4850608791838101,0.006338132348561387,0.016548048831003092,0.4532733862294935,0.1569581607037004,0.17203268595038831,0.03174776942680721,-0.012711087407811959,0.0014296750303246708
O075,final,Q2_intersection_nominal_to_hard,21,31.47678288758205,26.18143002688944,0.0780018743219908,1.0040072301337963,0.9785657344711015,0.1972634476673656,0.3353042442128715,0.20866101245529406,0.005148762718714383,0.00977201766021909,0.4630497819260692,0.16884176701951595,0.23632032381163287,0.0077005167306439,-0.02258676918816676,0.004312802256458272
O075,final,scale_signed_low_p10,13,38.792877540127684,34.658644963770634,0.4137966005463579,0.6993309668758365,0.9758276478801908,1.0189364919804242,1.7861931274397993,1.493386913855211,0.0005066990600376878,0.024396388548857305,0.3882685959635379,0.19117576361443628,0.3809258007816493,0.22329075710627683,-0.36395990834048975,-0.3771913310490986
