group_id,family,block_index,support_node_count,coordinate_sha256,support_index_sha256,solver_node_count
rb_g006,q,4,12,21bdb6e24f9cbd1e664fd3ba94feedc2619db3b399b586065384a3357495fb23,7551430d919caa4df9204e9a3c9508aad5daacde12a346303a268dd932edcbed,240825
rb_g006,q,5,8,21bdb6e24f9cbd1e664fd3ba94feedc2619db3b399b586065384a3357495fb23,7551430d919caa4df9204e9a3c9508aad5daacde12a346303a268dd932edcbed,240825
rb_g006,q,6,9,21bdb6e24f9cbd1e664fd3ba94feedc2619db3b399b586065384a3357495fb23,7551430d919caa4df9204e9a3c9508aad5daacde12a346303a268dd932edcbed,240825
rb_g006,q,7,11,21bdb6e24f9cbd1e664fd3ba94feedc2619db3b399b586065384a3357495fb23,7551430d919caa4df9204e9a3c9508aad5daacde12a346303a268dd932edcbed,240825
rb_g006,q,8,13,21bdb6e24f9cbd1e664fd3ba94feedc2619db3b399b586065384a3357495fb23,7551430d919caa4df9204e9a3c9508aad5daacde12a346303a268dd932edcbed,240825
rb_g006,k,0,29,21bdb6e24f9cbd1e664fd3ba94feedc2619db3b399b586065384a3357495fb23,7551430d919caa4df9204e9a3c9508aad5daacde12a346303a268dd932edcbed,240825
rb_g006,k,1,13,21bdb6e24f9cbd1e664fd3ba94feedc2619db3b399b586065384a3357495fb23,7551430d919caa4df9204e9a3c9508aad5daacde12a346303a268dd932edcbed,240825
rb_g006,k,2,33,21bdb6e24f9cbd1e664fd3ba94feedc2619db3b399b586065384a3357495fb23,7551430d919caa4df9204e9a3c9508aad5daacde12a346303a268dd932edcbed,240825
rb_g006,k,3,37,21bdb6e24f9cbd1e664fd3ba94feedc2619db3b399b586065384a3357495fb23,7551430d919caa4df9204e9a3c9508aad5daacde12a346303a268dd932edcbed,240825
rb_g006,k,4,34,21bdb6e24f9cbd1e664fd3ba94feedc2619db3b399b586065384a3357495fb23,7551430d919caa4df9204e9a3c9508aad5daacde12a346303a268dd932edcbed,240825
rb_g006,k,5,37,21bdb6e24f9cbd1e664fd3ba94feedc2619db3b399b586065384a3357495fb23,7551430d919caa4df9204e9a3c9508aad5daacde12a346303a268dd932edcbed,240825
rb_g007,q,0,12,47aca93e023cc8e653ca272a70cc317b7d0943bb6d27b5d765fddb64dbaf4d31,2a2d74034a7ccb59f85bd259110f097cc8ee5beb9fef67a547c825ffb4dac0ec,240825
rb_g007,q,1,18,47aca93e023cc8e653ca272a70cc317b7d0943bb6d27b5d765fddb64dbaf4d31,2a2d74034a7ccb59f85bd259110f097cc8ee5beb9fef67a547c825ffb4dac0ec,240825
rb_g007,q,2,10,47aca93e023cc8e653ca272a70cc317b7d0943bb6d27b5d765fddb64dbaf4d31,2a2d74034a7ccb59f85bd259110f097cc8ee5beb9fef67a547c825ffb4dac0ec,240825
rb_g007,q,3,17,47aca93e023cc8e653ca272a70cc317b7d0943bb6d27b5d765fddb64dbaf4d31,2a2d74034a7ccb59f85bd259110f097cc8ee5beb9fef67a547c825ffb4dac0ec,240825
rb_g007,q,4,15,47aca93e023cc8e653ca272a70cc317b7d0943bb6d27b5d765fddb64dbaf4d31,2a2d74034a7ccb59f85bd259110f097cc8ee5beb9fef67a547c825ffb4dac0ec,240825
rb_g007,q,5,17,47aca93e023cc8e653ca272a70cc317b7d0943bb6d27b5d765fddb64dbaf4d31,2a2d74034a7ccb59f85bd259110f097cc8ee5beb9fef67a547c825ffb4dac0ec,240825
rb_g007,q,6,13,47aca93e023cc8e653ca272a70cc317b7d0943bb6d27b5d765fddb64dbaf4d31,2a2d74034a7ccb59f85bd259110f097cc8ee5beb9fef67a547c825ffb4dac0ec,240825
rb_g007,q,7,11,47aca93e023cc8e653ca272a70cc317b7d0943bb6d27b5d765fddb64dbaf4d31,2a2d74034a7ccb59f85bd259110f097cc8ee5beb9fef67a547c825ffb4dac0ec,240825
rb_g007,q,8,17,47aca93e023cc8e653ca272a70cc317b7d0943bb6d27b5d765fddb64dbaf4d31,2a2d74034a7ccb59f85bd259110f097cc8ee5beb9fef67a547c825ffb4dac0ec,240825
