route,sample_id,adaptive_full_rmse_K,fixed_full_rmse_K,delta_full_rmse_K,adaptive_source_rmse_K,fixed_source_rmse_K,delta_source_rmse_K,adaptive_peak_rmse_K,fixed_peak_rmse_K,delta_peak_rmse_K,adaptive_interface_rmse_K,fixed_interface_rmse_K,delta_interface_rmse_K
B8192_recon,v6p1if1_0697,2.1168268214639454,2.6584871606818843,0.5416603392179389,2.3673051666260836,6.684058736191647,4.316753569565563,3.3127822875976562,7.161750793457031,3.848968505859375,0.5082556909910124,0.6379822595451186,0.12972656855410614
B8192_recon,v6p1if1_0907,3.443264441121182,3.4921092947239862,0.04884485360280433,3.7809837431337847,5.051181002625893,1.2701972594921083,3.4799575805664062,3.3242416381835938,-0.1557159423828125,0.23925240266218561,0.3697824998805905,0.13053009721840486
B8192_recon,v6p1if1_0203,3.067274621920875,2.982593116916712,-0.08468150500416316,3.6408488970146893,5.902420215701103,2.261571318686414,0.5083847045898438,4.6090545654296875,4.100669860839844,0.5086195812985667,0.3484525054178417,-0.16016707588072499
E32768_recon,v6p1if1_0308,3.447358654234345,3.447318381192642,-4.027304170284296e-05,6.646582099029706,6.646384507799007,-0.00019759123069906792,5.695404052734375,5.698493957519531,0.00308990478515625,0.8532656574428882,0.853224570677621,-4.108676526715094e-05
E32768_recon,v6p1if1_0511,0.6622561317704714,0.9306664993059492,0.26841036753547787,0.8324296519167487,1.973286123834459,1.1408564719177103,0.6478271484375,0.251434326171875,-0.396392822265625,0.16702799100488988,0.14167838770673252,-0.025349603298157358
E32768_recon,v6p1if1_0041,3.5336274476802396,3.984613222048302,0.4509857743680623,6.224172816784606,7.3426973052566105,1.118524488472004,7.4659423828125,8.604171752929688,1.1382293701171875,0.5518999631363075,0.7796677131160874,0.2277677499797799
E32768_recon,v6p1if1_0846,1.5977040242177856,1.644713941087159,0.04700991686937339,1.5924424507901571,2.8142725413514906,1.2218300905613335,1.2656974792480469,3.4080047607421875,2.1423072814941406,0.20371363883330562,0.26461829976962203,0.06090466093631641
E32768_recon,v6p1if1_0572,2.307304890080964,2.6073284396941463,0.30002354961318245,3.0264228216448164,5.4536763028461035,2.427253481201287,2.0636215209960938,5.963020324707031,3.8993988037109375,0.2459792743050869,0.3510093030293571,0.10503002872427022
E32768_recon,v6p1if1_0347,0.8842425910667736,1.1648054643335755,0.28056287326680185,2.2230476818368445,3.711031482611442,1.4879838007745976,4.0355224609375,6.724029541015625,2.688507080078125,0.14988694666622476,0.25493811916669695,0.10505117250047219
E32768_recon,v6p1if1_0286,3.321468577488632,3.409653801212934,0.08818522372430193,4.521546103750451,5.415050487878373,0.8935043841279224,5.564552307128906,4.846534729003906,-0.718017578125,0.5819059785444141,0.5253814133200118,-0.0565245652244023
E32768_recon,v6p1if1_0124,1.5108778840051396,1.6476137292420976,0.13673584523695803,1.4919615392364547,3.2143068953999103,1.7223453561634556,0.14630126953125,3.3104019165039062,3.1641006469726562,0.44314695096930756,0.3882382142347665,-0.05490873673454105
E32768_recon,v6p1if1_1017,1.0188191370205406,1.245984687835638,0.22716555081509737,2.5333225992545785,3.9590021473294907,1.4256795480749123,3.1590538024902344,1.7482109069824219,-1.4108428955078125,0.1331833648949385,0.21152682688636384,0.07834346199142533
E32768_recon,v6p1if1_0854,1.409593511034571,1.7220313226295596,0.3124378115949886,3.151716748307052,2.0348525498231544,-1.1168641984838974,2.247039794921875,1.12750244140625,-1.119537353515625,0.4251500879663135,0.4181740580416118,-0.006976029924701699
E32768_recon,v6p1if1_0928,1.5368129051605408,1.9106287653502476,0.3738158601897068,3.341224342945349,7.791602213305387,4.450377870360038,4.3496246337890625,9.055023193359375,4.7053985595703125,0.24209557733092466,0.4109101432303201,0.16881456589939545
