comparison,sample_id,deltaT_quartile,point_sse_delta_K2,outcome,P_operator_W,source_concentration,q_weighted_inverse_kz_mK_W,anisotropy_xy_over_z,log_top_h_W_m2K
shape_V32+scale_O075_minus_V32,sample_0798,Q2,-0.13365664848803482,win,1.2793694297649623,6.254777524407102,0.02046267381092001,1.8494277736261264,7.507949249583729
shape_V32+scale_O075_minus_V32,sample_0800,Q4,1.3288107944208978,loss,5.357220615790253,2.1591414016304302,0.023256733405386355,1.0,6.327442562926405
shape_V32+scale_O075_minus_V32,sample_0802,Q1,-0.013603033012177412,win,0.29896540483965683,1.3838841000262643,0.030528682975215715,1.0,5.927329559405776
shape_V32+scale_O075_minus_V32,sample_0806,Q2,1.831342754932193,loss,0.7550051643939173,5.444420562965526,0.02979243832775984,1.0,6.386932241374313
shape_V32+scale_O075_minus_V32,sample_0811,Q3,-4.238330608204095,win,0.7115016043225108,3.9971352258428774,0.1482680666913207,1.0,6.191773783477112
shape_V32+scale_O075_minus_V32,sample_0815,Q1,-0.01784211364398469,win,0.8512286960313047,6.7086851670861565,0.002561599147801437,1.0,7.06197005321878
shape_V32+scale_O075_minus_V32,sample_0820,Q3,-14.009158311507253,win,1.69973643039964,4.397459005805977,0.06917846973829236,1.0,6.17138357455055
shape_V32+scale_O075_minus_V32,sample_0822,Q2,0.16734993023926847,loss,0.9043684244413117,3.9839179807914866,0.06522396173850405,1.0,7.941360253094418
shape_V32+scale_O075_minus_V32,sample_0824,Q3,5.190423671804313,loss,0.9634819424005002,3.979231623330616,0.07087280085829345,1.0,7.561072044826278
shape_V32+scale_O075_minus_V32,sample_0827,Q2,3.0602298786000635,loss,2.8178763668129987,2.8511760683256537,0.01919050428865436,1.0,7.553100981294023
shape_V32+scale_O075_minus_V32,sample_0837,Q4,9.54422128931893,loss,0.7798859776096745,4.974669569141008,0.20301174659090587,1.0,5.609298634540053
shape_V32+scale_O075_minus_V32,sample_0839,Q2,1.032818360925934,loss,1.2014769174424569,4.84830253564053,0.033893346061489145,1.0,7.802993001722177
shape_V32+scale_O075_minus_V32,sample_0845,Q2,-0.1256794176868361,win,0.843047765740355,5.2801395971368805,0.026639689253063602,1.0,7.580968201900211
shape_V32+scale_O075_minus_V32,sample_0854,Q2,-0.3939558579220346,win,1.4808451997048868,3.798841152500689,0.011945024631199369,1.0,7.718450441745778
shape_V32+scale_O075_minus_V32,sample_0856,Q3,-27.0628342484126,win,0.677420863348497,3.841611737923203,0.051978688940306425,1.0,6.452192963169619
shape_V32+scale_O075_minus_V32,sample_0857,Q2,-0.019577109620149857,win,0.4407415951647372,1.3237634624255312,0.11971403901533313,1.0,7.7793712002500595
shape_V32+scale_O075_minus_V32,sample_0863,Q3,-1.374853607525322,win,0.8943312547220796,1.427506513652177,0.06797520340955915,1.0,6.0269777683348735
shape_V32+scale_O075_minus_V32,sample_0870,Q1,0.07387421695498408,loss,0.26735318227132826,1.3663938457394917,0.07189619979190896,1.0,7.249084060763297
shape_V32+scale_O075_minus_V32,sample_0879,Q1,0.0027244749877774754,loss,0.7002130972593554,7.126484176879564,0.005763047191954336,1.0,6.842793935184866
shape_V32+scale_O075_minus_V32,sample_0915,Q4,-1.8381667257858254,win,0.7872152633113286,12.376856225714134,0.12259064952484731,1.0,7.039088792773674
shape_V32+scale_O075_minus_V32,sample_0934,Q1,-0.6039554758294571,win,1.1018536657551372,6.917074532168648,0.006636463833721451,1.0,7.3814202111129
shape_V32+scale_O075_minus_V32,sample_0937,Q3,0.6006158487965134,loss,1.507442857679064,4.707973092386413,0.06961124056104706,1.0,7.741094197617639
shape_V32+scale_O075_minus_V32,sample_0953,Q1,-0.009759244958516933,win,1.005316036300745,4.426037851745131,0.003639394035902936,1.0,5.490079525081269
shape_V32+scale_O075_minus_V32,sample_0969,Q4,-7.343352406787062,win,1.905063952486919,6.580659408212352,0.04073661706644013,1.0,6.839411317419559
