variable,split_role,count,mean,std,q00,q01,q05,q10,q25,q50,q75,q90,q95,q99,q100
effective_background_kz_W_mK,test_iid,128,0.5664698146392841,0.05623992660518902,0.4557523377945032,0.4615529188006406,0.4755525666905176,0.4891363833838552,0.5237225315501414,0.5685681456496443,0.6111172621117594,0.6453909124624849,0.6569653018148256,0.6678923439496777,0.6781447007033233
peak_deltaT_K,train,768,92.6536863508202,33.35042475898291,30.37403451000688,34.54920408206943,39.67608800122496,45.77604403827121,64.58650593434928,92.63234288832123,118.20458503497629,138.92759780892098,146.6127071475663,156.48706744824116,173.0984308776595
peak_deltaT_K,valid_iid,128,88.23191903777558,32.52395995013948,32.2189021999971,32.817129727442094,38.95174332887239,44.667254916571586,62.57655245865551,86.14500829313727,109.33212718072069,133.68787783963327,141.20489000043622,161.04800888036004,163.36681873750098
peak_deltaT_K,test_iid,128,91.47022592925504,32.45061770907259,34.63242652695499,35.639009866699816,40.304837250602134,45.18328491578886,65.25858852224256,89.59872392966494,116.67449338970424,134.61426090064032,141.12522204989426,164.32043616276434,171.5794908306557
mean_deltaT_K,train,768,73.65037954390911,26.861084067180812,22.008407564353615,26.33054427777747,31.54916047632984,36.01822026262067,51.61672671299032,74.02783357720608,93.49363511593596,109.45539254490839,117.99433227409367,130.2177773080837,143.95558954484636
mean_deltaT_K,valid_iid,128,69.97880062227023,26.971202023641016,25.584351796337433,26.487215927855537,29.916479734260317,34.148964874615885,49.625082295601786,67.13047903854222,87.51810506316892,107.44514940312618,113.69798713210473,142.1924569415771,146.52729110040278
mean_deltaT_K,test_iid,128,72.55099502042856,25.879277212380366,24.594070979175566,26.63657824744184,34.16784920098216,36.75678203815055,53.00776994667707,69.83649963479759,91.90734788048212,106.1373861477434,117.12437803119778,130.20275368348837,132.5201851376663
cv_rms_deltaT_K,train,768,74.19503401393943,26.986550130689945,22.486610592128407,26.456027624879628,31.919503562039804,36.131252989127,51.840017424288746,74.81640340063989,94.15884804403824,110.58365874375896,118.33709318809414,130.78927833660546,144.13649604203388
cv_rms_deltaT_K,valid_iid,128,70.53942528743165,27.035602684018077,25.86892696303002,26.66981654445603,30.128114615481728,34.609100431809715,49.94352881092039,67.79488038368007,87.72060679975398,107.60890675145323,114.0723249534685,142.31173521102662,146.71737420688797
cv_rms_deltaT_K,test_iid,128,73.09479045553226,25.96985024086269,25.028170544030733,27.00538572227528,34.244971515809496,37.08833888308778,53.83638955628037,70.34307866825685,92.34487907149735,106.71617849341682,117.6312830053948,130.9539964036806,132.60827223360823
Reff_peak_K_W,train,768,12.956826039561491,3.6435455643197936,6.992221097165395,7.418973392702773,7.964668372227176,8.47230496315922,9.813869342163443,12.531657802320435,15.807351819791712,18.300426679910714,19.324103795117022,20.787247666866705,21.963282486481706
Reff_peak_K_W,valid_iid,128,12.597930053248332,3.5675279841852583,7.372428626673697,7.475512843764387,8.146165802636403,8.559228906864805,9.391296797892709,11.633535195731401,15.479243825452365,18.07237998264696,18.545559442875952,20.09870153537075,20.295950134458014
Reff_peak_K_W,test_iid,128,12.97292603880631,3.212120998777453,7.353937973704801,7.949098832284964,8.639032860043763,8.903877838804794,10.196287683730821,12.520264967216542,15.375711866694436,17.6549637488476,18.377459179491023,19.464287597691605,20.41826091383344
top_heat_fraction,train,768,0.9484065875336887,0.026465554638865168,0.853464451651843,0.8718255693734478,0.8974911947681534,0.9101829904854855,0.9326375696186864,0.9529697632167617,0.9689562223729962,0.9790845284497174,0.9820611877677387,0.9857263426685147,0.9882905765888875
top_heat_fraction,valid_iid,128,0.9478292738803151,0.02686306965704481,0.8805342353123564,0.8839375374632156,0.8915344042255775,0.9076341536062129,0.9330924335327853,0.9538357253476313,0.9679472028449985,0.977820235395978,0.9795521997931754,0.9836920158704833,0.9864039401132347
top_heat_fraction,test_iid,128,0.9468230429404787,0.028152579178211908,0.8660134013295152,0.875199907529691,0.887555534299103,0.9074102878054746,0.9294889137271314,0.9530881722396634,0.9683020846252806,0.976225153615087,0.9814644052402007,0.9863678085457206,0.9870184195425227
bottom_heat_fraction,train,768,0.0515934124722357,0.02646555464051344,0.011709423409229076,0.014273657314073332,0.017938812245234383,0.02091547155297789,0.03104377763689522,0.047030236792298494,0.06736243043244419,0.08981700950721525,0.10250880528385083,0.12817443065513426,0.14653554837226238
bottom_heat_fraction,valid_iid,128,0.052170726123312916,0.02686306966043922,0.01359605989197499,0.016307984134717835,0.020447800215305387,0.022179764600786387,0.03205279716229588,0.04616427463693759,0.06690756645874374,0.0923658464186102,0.10846559578549533,0.11606246252014919,0.11946576470129278
bottom_heat_fraction,test_iid,128,0.05317695706575902,0.028152579177161855,0.012981580465600126,0.013632191448651482,0.018535594779497445,0.023774846435858914,0.031697915387968324,0.046911827748716384,0.07051108625881544,0.09258971218330338,0.11244446573286519,0.12480009247640572,0.13398659867314533
