population,sample_id,split_role,true_peak_deltaT_K,total_power_W,continuous_severity,absolute_peak_error_K,sample_peak_relative_error_pct,peak_error_sse_K2,peak_error_sse_rank,is_top5_sse,is_top10_sse
test128,v6p1if1_0226,test_iid,44.73711575337455,3.728906652356971,0.14432175643742085,2.3268508911132812,5.201164294856817,5.414235069474671,85,False,False
test128,v6p1if1_0474,test_iid,78.34385773606726,5.565660430409389,0.2758585037663579,1.8215255737304688,2.3250394177256486,3.3179554157541133,97,False,False
test128,v6p1if1_0001,test_iid,45.08120074587788,4.640977112634815,0.020784668624401093,2.224048614501953,4.933428075793467,4.946392239668057,86,False,False
test128,v6p1if1_0678,test_iid,119.20058481950929,6.924324555063433,0.5220552049577236,0.08294677734375,0.0695858812012928,0.006880167871713638,127,False,False
test128,v6p1if1_0290,test_iid,65.57525028801331,5.959701089860167,0.3043939433991909,1.11700439453125,1.7033932613680478,1.2476988174021244,115,False,False
test128,v6p1if1_0645,test_iid,38.62164894924837,2.9096162077198544,0.022465132176876068,0.5053024291992188,1.3083398636428563,0.2553305449546315,122,False,False
test128,v6p1if1_0553,test_iid,45.227035274322134,3.2185508005967662,0.18216175213456154,1.4604682922363281,3.22919307749875,2.1329676326276967,104,False,False
test128,v6p1if1_0367,test_iid,71.59036193936868,8.495748895485587,0.6260998137295246,2.3670654296875,3.3064023781472365,5.602998748421669,83,False,False
test128,v6p1if1_0968,test_iid,39.574210948080406,2.967768647890885,0.12792013585567474,0.227783203125,0.5755849520887261,0.05188518762588501,126,False,False
test128,v6p1if1_0578,test_iid,89.85759840770237,6.628429067182785,0.6105458252131939,3.7840423583984375,4.211154566171978,14.318976570153609,52,False,False
test128,v6p1if1_0115,test_iid,85.70108968748917,4.863587886374747,0.4766905205324292,7.603019714355469,8.871555475058765,57.805908776877914,21,False,False
test128,v6p1if1_0269,test_iid,100.79324313968812,7.657325643328135,0.6783168446272612,5.041648864746094,5.001971072365372,25.418223275395576,36,False,False
test128,v6p1if1_0497,test_iid,137.04487781044776,11.195168832048708,0.8658705307170749,5.333526611328125,3.8918102570058393,28.446506113745272,34,False,False
test128,v6p1if1_0239,test_iid,138.0635308723841,7.0684633519088855,0.877183023840189,8.212173461914062,5.94811201048074,67.4397929685656,16,False,False
test128,v6p1if1_0149,test_iid,110.87722815315192,12.357535665284658,0.5176907731220126,4.4620513916015625,4.024317225389368,19.90990262129344,42,False,False
test128,v6p1if1_0575,test_iid,124.20575785438677,7.302928200674975,0.7502056146040559,7.667449951171875,6.173183984079746,58.78978875372559,20,False,False
test128,v6p1if1_0666,test_iid,106.21433658475416,10.457653793953078,0.3298298781737685,3.5394515991210938,3.33236709179723,12.527717622520868,60,False,False
test128,v6p1if1_0437,test_iid,132.6197001847347,12.69276038327624,0.5588036784902215,1.886749267578125,1.4226764688428248,3.559822798706591,95,False,False
test128,v6p1if1_0483,test_iid,75.58481635674406,8.081911085294395,0.2831283677369356,9.097526550292969,12.036182647258945,82.76498933328548,12,False,False
test128,v6p1if1_0573,test_iid,59.927867562212725,5.443155440113926,0.15398647543042898,3.5803298950195312,5.974398957718118,12.818762157170568,59,False,False
test128,v6p1if1_0788,test_iid,167.2246478475604,11.145105371275621,0.5776620199903846,17.6920166015625,10.57979001856849,313.0074514299631,2,True,True
test128,v6p1if1_0445,test_iid,112.21811502108483,12.649969901481397,0.5795892355963588,0.6923294067382812,0.6169497737581837,0.4793200074345805,120,False,False
test128,v6p1if1_0635,test_iid,104.19569177193745,12.083317549668767,0.572891908697784,1.4354324340820312,1.377631272148845,2.060466272814665,105,False,False
test128,v6p1if1_0375,test_iid,102.43894193046208,9.268244546100348,0.7878168085590005,3.907440185546875,3.814408965878753,15.268088803626597,49,False,False
test128,v6p1if1_0448,test_iid,113.471945130998,9.433566556290616,0.7817110624164343,9.531455993652344,8.399834851379985,90.84865335893119,10,False,True
test128,v6p1if1_0567,test_iid,91.78806770773951,5.9258791117221055,0.8569230092689395,0.8499298095703125,0.9259698246144111,0.7223806811962277,118,False,False
test128,v6p1if1_0741,test_iid,94.30954400786976,7.77218831161185,0.9347024224698544,3.178009033203125,3.3697639688915606,10.099741415120661,65,False,False
test128,v6p1if1_0662,test_iid,39.7535572394886,2.236173887959967,0.20410890970379114,1.3349342346191406,3.358024607903777,1.7820494107581908,108,False,False
test128,v6p1if1_0820,test_iid,88.19088864716792,7.01204975235294,0.3151971744373441,1.1063995361328125,1.254550842048174,1.2241199335549027,116,False,False
test128,v6p1if1_0646,test_iid,99.00788560055457,5.14259944490585,0.27716085873544216,0.9112472534179688,0.9203784606555264,0.8303715568617918,117,False,False
test128,v6p1if1_0466,test_iid,66.73153772683253,3.778547050459558,0.3664034893736243,2.0551986694335938,3.079801154660348,4.223841570841614,90,False,False
test128,v6p1if1_0605,test_iid,124.00413689098036,10.984728035235202,0.8042491851374507,1.1389999389648438,0.9185176942654811,1.2973208609619178,114,False,False
test128,v6p1if1_0436,test_iid,41.32864298552727,2.761141032728214,0.16942346189171076,2.4585113525390625,5.948686370854228,6.0442780705634505,79,False,False
test128,v6p1if1_0837,test_iid,108.1616262299707,10.04221576991879,0.4252740051597357,3.6764297485351562,3.3990148601486614,13.516135695914272,56,False,False
test128,v6p1if1_0864,test_iid,96.19906156760243,9.008323756252008,0.43995339423418045,5.314048767089844,5.524013104177193,28.23911429900909,35,False,False
test128,v6p1if1_0677,test_iid,81.52937171164893,5.9941193269537525,0.7756527084857225,2.5160140991210938,3.086021695370927,6.330326946976129,76,False,False
test128,v6p1if1_0740,test_iid,76.62048411942033,7.608467944576988,0.2933690808713436,3.7167816162109375,4.850898110246836,13.814465582603589,55,False,False
test128,v6p1if1_0636,test_iid,99.59967516603757,6.49372681991469,0.6674915039911866,1.7785873413085938,1.7857360863312064,3.163372930663172,98,False,False
test128,v6p1if1_0252,test_iid,133.63786379835432,9.727065319338207,0.8166377665475011,2.84539794921875,2.129185448154245,8.096289489418268,74,False,False
test128,v6p1if1_0571,test_iid,153.6052567958326,16.21247140261187,0.7321862103417516,13.666824340820312,8.897367593991811,186.78208756283857,8,False,True
test128,v6p1if1_0584,test_iid,114.30548289518424,9.74355755521318,0.3768365979194641,3.751251220703125,3.281777151620054,14.071885720826685,53,False,False
