discretization_seed,global_context_z_l2_drift,global_context_z_max_abs_drift,log_s_phys_drift,predicted_log_scale_drift,qk_summary_l2_drift,resolution,sample_id,suite
1,4.886840309892265,4.434008240699768,-0.00022602081298828125,-0.14726071017731446,0.6343104550334369,512,v6p1if1_0175,main
1,2.105163426899797,1.8247060775756836,-0.0009303092956542969,-0.016495037667989987,0.5440035447535138,512,v6p1if1_0915,main
1,9.404814891874752,9.328886091709137,0.005002021789550781,-0.13605312149482796,0.6186987724822711,512,v6p1if1_0869,main
1,5.952907076220897,5.925082683563232,0.0020127296447753906,-0.058169873678577844,0.9366191032273702,512,v6p1if1_0522,main
1,1.0591308841235854,0.8333520889282227,0.0005087852478027344,-0.05434791945593709,0.8363254730136328,512,v6p1if1_0118,main
1,10.354790533886437,10.027453660964966,0.0028700828552246094,0.07168201940936036,0.6820127955977257,512,v6p1if1_0708,main
1,6.554168674723539,6.3550668358802795,0.0005402565002441406,0.22464656418926232,0.6575689222256761,512,v6p1if1_0817,main
1,3.8665965535247486,3.6781771183013916,-0.0024366378784179688,-0.0187348745965199,0.6817081546602405,512,v6p1if1_1003,main
1,5.676473154135099,4.160481244325638,0.0018296241760253906,-0.018840238481061533,0.49743187417935314,512,v6p1if1_0697,main
1,7.252425086759202,7.066176772117615,-6.341934204101562e-05,0.48623044292127915,0.42698495787286733,512,v6p1if1_0907,main
1,3.415073409835296,2.6028952598571777,0.0006513595581054688,-0.002519656579095475,0.7234166110198216,512,v6p1if1_0203,main
1,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0308,main
1,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0511,main
1,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0041,main
1,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0846,main
1,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0572,main
1,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0347,main
1,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0286,main
1,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0124,main
1,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_1017,main
1,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0854,main
1,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0928,main
1,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0543,main
1,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0632,main
1,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0599,main
1,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0003,main
1,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0029,main
1,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0991,main
1,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0109,main
1,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0365,main
