comparison,variable,baseline,candidate,sample_id,deltaT_quartile,true_scale_cv_rms_K,baseline_point_error_squared_sum,candidate_point_error_squared_sum,delta_point_error_squared_sum,baseline_shape_point_sse_K2,candidate_shape_point_sse_K2,delta_shape_point_sse_K2,baseline_scale_point_sse_K2,candidate_scale_point_sse_K2,delta_scale_point_sse_K2,baseline_cross_point_sse_K2,candidate_cross_point_sse_K2,delta_cross_point_sse_K2
V42_minus_V38,objective,V38,V42,sample_0606,Q2,0.35486834510187976,22.86662679654105,12.968995865417224,-9.897630931123825,4.239838667041518,3.2203390161574226,-1.0194996508840952,22.37690367471412,11.464527313868198,-10.912376360845924,-3.7501155452145896,-1.715870464608396,2.0342450806061936
V42_minus_V38,objective,V38,V42,sample_0617,Q4,1.6954972295571176,198.7517451718269,197.71834046314933,-1.0334047086775797,130.50604317986088,145.87256018706663,15.366517007205744,96.45786690280514,76.72652830981649,-19.73133859298865,-28.212164910839086,-24.880748033733784,3.331416877105301
V42_minus_V38,objective,V38,V42,sample_0664,Q2,0.21182580625281516,1.332580036361606,1.2223836981989002,-0.1101963381627058,1.1177772413034393,1.1515532847337366,0.03377604343029739,0.14123058694029134,0.03936564647025035,-0.101864940470041,0.07357220811787533,0.03146476699491373,-0.0421074411229616
V42_minus_V38,objective,V38,V42,sample_0674,Q4,1.9653323024035245,47.01739182494148,44.46131821966088,-2.556073605280595,42.498714563347974,42.05141344318249,-0.4473011201654842,5.6905072683650095,3.2378655216958285,-2.452641746669181,-1.1718300067715122,-0.8279607452174389,0.34386926155407327
V42_minus_V38,objective,V38,V42,sample_0680,Q1,0.13988127549974655,0.9856275890171042,1.0720692055195649,0.08644161650246063,0.964500994284494,1.0611188662691615,0.09661787198466754,0.06294906084961877,0.09478318123306873,0.03183412038344996,-0.0418224661170086,-0.08383284198266515,-0.04201037586565655
V42_minus_V38,objective,V38,V42,sample_0684,Q3,0.4675902590684859,21.330010391675046,6.95641939074698,-14.373591000928066,4.9685474484500585,5.117536325313463,0.14898887686340423,16.116621105999975,1.7702493376272104,-14.346371768372766,0.24484183722501185,0.06863372780630628,-0.17620810941870557
V42_minus_V38,objective,V38,V42,sample_0699,Q4,1.0241175065901906,29.173405567021966,19.982438265367534,-9.190967301654432,18.833582715533858,18.693971258225787,-0.1396114573080709,9.47050838303355,2.961850380348799,-6.508658002684751,0.8693144684545513,-1.6733833732070527,-2.542697841661604
V42_minus_V38,objective,V38,V42,sample_0701,Q3,0.6309969147914593,18.306307441640637,11.794253140166465,-6.512054301474173,10.675832307564452,6.334461240109114,-4.341371067455338,8.258275469370199,5.260414040308211,-2.997861429061988,-0.6278003352940161,0.19937785974913874,0.8271781950431549
V42_minus_V38,objective,V38,V42,sample_0722,Q1,0.03031260371682112,0.07206940954218113,0.06384561575378855,-0.00822379378839258,0.040049287665623656,0.009129416601609845,-0.03091987106401381,0.04847124882347573,0.057120949856687156,0.00864970103321143,-0.01645112694691824,-0.00240475070450844,0.014046376242409802
V42_minus_V38,objective,V38,V42,sample_0730,Q2,0.1680360198605653,2.1912494768679514,2.399465149446629,0.20821567257867768,0.7311392235397887,0.4246769326215379,-0.3064622909182508,1.1280640068778218,1.6097662435839577,0.4817022367061359,0.33204624645034064,0.36502197324113317,0.032975726790792526
V42_minus_V38,objective,V38,V42,sample_0734,Q2,0.2662510666922884,2.2995035558430006,1.4477896038092966,-0.851713952033704,0.4098531201597584,0.43497635561049564,0.025123235450737247,1.8012861714316055,0.9542966591542276,-0.846989512277378,0.08836426425163685,0.058516589044573464,-0.029847675207063384
V42_minus_V38,objective,V38,V42,sample_0735,Q3,0.45204530633689216,5.650867792159932,6.352066394403482,0.7011986022435499,5.630833627872821,5.9353095050708164,0.3044758771979952,0.02010134848353904,0.3416667183295241,0.32156536984598505,-6.718419642881557e-05,0.07509017100314161,0.07515735519957042
V42_minus_V38,objective,V38,V42,sample_0739,Q2,0.33980068084372145,1.567532213867934,1.006589962644973,-0.5609422512229609,1.4395851747969957,0.6268291801574497,-0.812755994639546,0.10817030643188938,0.3682471181817404,0.260076811749851,0.019776732639048875,0.011513664305782975,-0.0082630683332659
