physical_field,train_quartile,field,sample_count,point_global_relative_rmse_pct,sample_first_cv_relative_rmse_pct,raw_cv_weighted_rmse_K
harmonic_ky_W_mK,Q3,e543,30,18.305737775365223,19.254760005273226,0.08627949650264218
harmonic_ky_W_mK,Q3,e231_oracle_scale,30,14.947681335282722,14.548077695666455,0.07012195434666088
harmonic_ky_W_mK,Q3,e543_oracle_scale,30,14.20001868065961,13.895426212886603,0.06607255826806396
harmonic_ky_W_mK,Q3,v39_e24_oracle_scale,30,14.200274454039127,13.895402009581339,0.06607336055155791
harmonic_ky_W_mK,Q3,ridge_physics_24,30,27.898695987913452,32.53598044906251,0.13303189973446264
harmonic_ky_W_mK,Q3,ridge_pooled_latent_96,30,19.266540449079944,19.336636633651086,0.09163738468677643
harmonic_ky_W_mK,Q3,ridge_combined_120,30,19.015692099429216,19.713099447063247,0.09029703802068151
harmonic_ky_W_mK,Q4,e543,28,18.378326476363096,16.987582042731937,0.09323735054092165
harmonic_ky_W_mK,Q4,e231_oracle_scale,28,13.816379728702998,14.058513063141307,0.07227302738333886
harmonic_ky_W_mK,Q4,e543_oracle_scale,28,13.35070487026263,12.805145142196453,0.06966600916878841
harmonic_ky_W_mK,Q4,v39_e24_oracle_scale,28,13.350384988777392,12.805280377928636,0.0696612718791086
harmonic_ky_W_mK,Q4,ridge_physics_24,28,21.540829929286566,31.600697697787133,0.11175162066385287
harmonic_ky_W_mK,Q4,ridge_pooled_latent_96,28,21.425174503722282,19.977449193321313,0.10873800231199864
harmonic_ky_W_mK,Q4,ridge_combined_120,28,20.496888690786612,20.050767150535847,0.10368772861019064
harmonic_kz_W_mK,Q1,e543,31,24.942967122122237,24.438475436706057,0.231185188124186
harmonic_kz_W_mK,Q1,e231_oracle_scale,31,16.59551132765121,15.813637752105961,0.15338918095696
harmonic_kz_W_mK,Q1,e543_oracle_scale,31,17.327358873658426,15.423510010372432,0.16054333481736338
harmonic_kz_W_mK,Q1,v39_e24_oracle_scale,31,17.32680483304835,15.423797260908161,0.16053880013535254
harmonic_kz_W_mK,Q1,ridge_physics_24,31,54.222174768985035,44.44056537215217,0.5136965110077371
harmonic_kz_W_mK,Q1,ridge_pooled_latent_96,31,27.874912678280655,25.09097504036985,0.25996961285037634
harmonic_kz_W_mK,Q1,ridge_combined_120,31,27.146120528674132,25.17973079960362,0.2527287742597648
harmonic_kz_W_mK,Q2,e543,40,23.731719902015595,19.148599683108472,0.1730607528451508
