sweep,route,mode,stage,median_s,p95_s,share_of_elapsed_median,measurement_count,execution_commit
K_only,U_v2_16384_reconstruction,fresh_new_case,h2d_enqueue,0.024730926379561424,0.027992062177509068,0.045880816107813596,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,fresh_new_case,h2d_sync,0.0015952559188008308,0.0017292432487010956,0.002959518876571097,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,fresh_new_case,neural_forward,0.001832007197663188,0.003023766912519932,0.0033987398633656134,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,fresh_new_case,query_graph,0.049008087487891316,0.05595081804785877,0.09091980685712821,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,fresh_new_case,query_group_pack,0.012986100045964122,0.01474712579511106,0.0240918135868518,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,fresh_new_case,reconstruction_apply,0.0013046285603195429,0.0013518115738406777,0.002420346983624964,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,fresh_new_case,reconstruction_map,0.1386241582222283,0.14170150978025048,0.2571755466770874,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,fresh_new_case,support_plus_cv,0.26128016598522663,0.27453037628438326,0.48472697966115513,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,graph_only_reuse,anchor_group_pack,0.01674061082303524,0.018803846277296542,0.08102405960469179,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,graph_only_reuse,dynamic_anchor_assembly,0.00016017071902751923,0.0002087310655042529,0.0007752215270158868,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,graph_only_reuse,dynamic_query_assembly,0.007058707997202873,0.007559144590049982,0.03416393723880766,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,graph_only_reuse,h2d_enqueue,0.02465620101429522,0.02755575629416853,0.11933528123469672,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,graph_only_reuse,h2d_sync,0.0015849766787141562,0.0017127751605585217,0.0076712400906825545,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,graph_only_reuse,neural_forward,0.0019187291618436575,0.002955022221431136,0.009286592204901026,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,graph_only_reuse,query_group_pack,0.012967772781848907,0.014138600882142782,0.06276363544458308,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,graph_only_reuse,reconstruction_apply,0.0013066858518868685,0.001371260196901858,0.0063243207471382614,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,graph_only_reuse,reconstruction_map,0.13829135638661683,0.13980763163417578,0.669326061105538,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,full_static_reuse,anchor_dynamic_pack,0.01369658438488841,0.015771559323184192,0.20079358176320877,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,full_static_reuse,dynamic_anchor_assembly,0.0001552361063659191,0.00018532904796302317,0.0022757800733574137,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,full_static_reuse,dynamic_query_assembly,0.007114713545888662,0.00758579580578953,0.10430256010939352,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,full_static_reuse,h2d_enqueue,0.024660779163241386,0.02694793741684407,0.3615300017953409,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,full_static_reuse,h2d_sync,0.0015936284326016903,0.001760414009913802,0.023362785347771125,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,full_static_reuse,neural_forward,0.001812095521017909,0.002821306278929114,0.026565539256904185,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,full_static_reuse,query_dynamic_pack,0.013536329846829176,0.015481365518644452,0.19844423087495197,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,full_static_reuse,reconstruction_apply,0.001310940831899643,0.0013475192012265325,0.01921855097006468,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,full_static_reuse,reconstruction_map_cache_lookup,0.0,0.0,0.0,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,U_v2_16384_reconstruction,fresh_new_case,anchor_graph,0.019004588946700096,0.020046488917432725,0.03519565897217149,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,U_v2_16384_reconstruction,fresh_new_case,anchor_group_pack,0.016670259879902005,0.018426127475686373,0.030872584687625142,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,U_v2_16384_reconstruction,fresh_new_case,dynamic_anchor_assembly,0.00016871257685124874,0.0002347155474126339,0.00031244823741393644,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,U_v2_16384_reconstruction,fresh_new_case,dynamic_query_assembly,0.007055002031847835,0.007519997865892946,0.013065552023107996,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
