sample_id,source_id,active_layer,slot_index,declared_source_area_m2,package_power_fraction,source_power_W,surface_power_density_W_m2,surface_power_density_W_cm2,realized_source_control_volume_m3,q_W_m3,covered_control_volume_count,covered_x_node_count,covered_y_node_count,covered_z_node_count,resolved_x_interval_count,resolved_y_interval_count,group_id,split_role
p1f_pilot_g014_t0_b0_p0,src_01,silicon_die_lower,5,2.956126358941806e-06,0.09116662537367175,0.364666501494687,123359.57845361704,12.335957845361705,3.295898437499991e-10,1106425177.8683274,360,12,10,3,11,9,p1f_pilot_g014,pilot_only
p1f_pilot_g014_t0_b0_p0,src_02,silicon_die_lower,10,5.275659351210576e-06,0.1482071332740702,0.5928285330962808,112370.51023020425,11.237051023020426,5.603027343749986e-10,1058050401.552232,612,12,17,3,11,16,p1f_pilot_g014,pilot_only
p1f_pilot_g014_t0_b0_p0,src_03,silicon_die_lower,3,3.6017355993949027e-06,0.10810618625758237,0.43242474503032946,120060.10244143892,12.006010244143893,4.11987304687499e-10,1049606966.3076941,450,10,15,3,9,14,p1f_pilot_g014,pilot_only
p1f_pilot_g014_t0_b0_p0,src_04,silicon_die_upper,0,3.913463649256059e-06,0.10190870701119857,0.4076348280447943,104162.16032114792,10.416216032114793,5.169677734375001e-10,788511100.6712997,616,11,14,4,10,13,p1f_pilot_g014,pilot_only
p1f_pilot_g014_t0_b0_p0,src_05,silicon_die_upper,5,5.1778556222980186e-06,0.12980131724569455,0.5192052689827782,100274.18816910662,10.027418816910663,7.418823242187503e-10,699848550.1451118,884,13,17,4,12,16,p1f_pilot_g014,pilot_only
p1f_pilot_g014_t0_b0_p0,src_06,silicon_die_upper,10,3.268804416783349e-06,0.07928705502118905,0.3171482200847562,97022.69687852549,9.70226968785255,4.431152343749999e-10,715724027.2546345,528,12,11,4,11,10,p1f_pilot_g014,pilot_only
p1f_pilot_g014_t0_b0_p0,src_07,silicon_die_upper,3,4.819727278273525e-06,0.13498650856134845,0.5399460342453938,112028.33751182865,11.202833751182865,6.277465820312502e-10,860133770.0609167,748,11,17,4,10,16,p1f_pilot_g014,pilot_only
p1f_pilot_g014_t0_b0_p0,src_08,silicon_die_upper,6,3.942457960469324e-06,0.1022660487544379,0.4090641950177516,103758.6701289911,10.37586701289911,5.236816406250002e-10,781131441.8614032,624,13,12,4,12,11,p1f_pilot_g014,pilot_only
p1f_pilot_g014_t0_b0_p1,src_00,silicon_die_lower,0,3.7578804725651196e-06,0.10427041850080714,0.6256225110048428,166482.8127377331,16.64828127377331,4.1198730468749916e-10,1518548032.6375356,450,10,15,3,9,14,p1f_pilot_g014,pilot_only
p1f_pilot_g014_t0_b0_p1,src_01,silicon_die_lower,5,2.956126358941806e-06,0.09116662537367175,0.5469997522420305,185039.36768042555,18.503936768042553,3.295898437499991e-10,1659637766.802491,360,12,10,3,11,9,p1f_pilot_g014,pilot_only
p1f_pilot_g014_t0_b0_p1,src_02,silicon_die_lower,10,5.275659351210576e-06,0.1482071332740702,0.8892427996444212,168555.76534530637,16.855576534530638,5.603027343749986e-10,1587075602.328348,612,12,17,3,11,16,p1f_pilot_g014,pilot_only
p1f_pilot_g014_t0_b0_p1,src_03,silicon_die_lower,3,3.6017355993949027e-06,0.10810618625758237,0.6486371175454941,180090.15366215838,18.009015366215838,4.11987304687499e-10,1574410449.461541,450,10,15,3,9,14,p1f_pilot_g014,pilot_only
p1f_pilot_g014_t0_b0_p1,src_04,silicon_die_upper,0,3.913463649256059e-06,0.10190870701119857,0.6114522420671914,156243.24048172188,15.624324048172188,5.169677734375001e-10,1182766651.0069494,616,11,14,4,10,13,p1f_pilot_g014,pilot_only
p1f_pilot_g014_t0_b0_p1,src_05,silicon_die_upper,5,5.1778556222980186e-06,0.12980131724569455,0.7788079034741673,150411.28225365994,15.041128225365995,7.418823242187503e-10,1049772825.2176678,884,13,17,4,12,16,p1f_pilot_g014,pilot_only
p1f_pilot_g014_t0_b0_p1,src_06,silicon_die_upper,10,3.268804416783349e-06,0.07928705502118905,0.4757223301271343,145534.04531778823,14.553404531778822,4.431152343749999e-10,1073586040.8819518,528,12,11,4,11,10,p1f_pilot_g014,pilot_only
p1f_pilot_g014_t0_b0_p1,src_07,silicon_die_upper,3,4.819727278273525e-06,0.13498650856134845,0.8099190513680907,168042.50626774298,16.804250626774298,6.277465820312502e-10,1290200655.091375,748,11,17,4,10,16,p1f_pilot_g014,pilot_only
p1f_pilot_g014_t0_b0_p1,src_08,silicon_die_upper,6,3.942457960469324e-06,0.1022660487544379,0.6135962925266274,155638.00519348664,15.563800519348664,5.236816406250002e-10,1171697162.792105,624,13,12,4,12,11,p1f_pilot_g014,pilot_only
p1f_pilot_g014_t0_b1_p0,src_00,silicon_die_lower,0,3.7578804725651196e-06,0.10427041850080714,0.41708167400322854,110988.54182515541,11.098854182515542,4.1198730468749916e-10,1012365355.0916904,450,10,15,3,9,14,p1f_pilot_g014,pilot_only
p1f_pilot_g014_t0_b1_p0,src_01,silicon_die_lower,5,2.956126358941806e-06,0.09116662537367175,0.364666501494687,123359.57845361704,12.335957845361705,3.295898437499991e-10,1106425177.8683274,360,12,10,3,11,9,p1f_pilot_g014,pilot_only
p1f_pilot_g014_t0_b1_p0,src_02,silicon_die_lower,10,5.275659351210576e-06,0.1482071332740702,0.5928285330962808,112370.51023020425,11.237051023020426,5.603027343749986e-10,1058050401.552232,612,12,17,3,11,16,p1f_pilot_g014,pilot_only
p1f_pilot_g014_t0_b1_p0,src_03,silicon_die_lower,3,3.6017355993949027e-06,0.10810618625758237,0.43242474503032946,120060.10244143892,12.006010244143893,4.11987304687499e-10,1049606966.3076941,450,10,15,3,9,14,p1f_pilot_g014,pilot_only
