sample_id,source_id,topology,power_provenance,active_layer,declared_source_area_m2,source_area_fraction,source_power_W,surface_power_density_W_m2,geometric_source_volume_m3,realized_source_control_volume_m3,q_W_m3,covered_control_volume_count,covered_x_node_count,covered_y_node_count,covered_z_node_count,resolved_x_interval_count,resolved_y_interval_count,physical_layer_z_interval_count,active_layer_power_W,package_total_power_W
p1b_dm_p1,src_06,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_upper,7.9999999999999946e-06,0.12499999999999997,0.12499999999999997,15625.000000000007,1.1999999999999992e-09,1.0910034179687496e-09,114573426.57342659,1300,13,25,4,12,24,4,0.5,1
p1b_dm_p1,src_07,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_upper,7.9999999999999979e-06,0.12500000000000003,0.12500000000000003,15625.000000000007,1.1999999999999996e-09,1.0910034179687494e-09,114573426.57342666,1300,13,25,4,12,24,4,0.5,1
p1b_dm_p2,src_00,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_lower,7.9999999999999979e-06,0.12500000000000003,0.25000000000000006,31250.000000000015,1.1999999999999996e-09,8.9263916015625019e-10,280068376.06837606,975,13,25,3,12,24,4,1,2
p1b_dm_p2,src_01,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_lower,7.9999999999999946e-06,0.12499999999999997,0.24999999999999994,31250.000000000015,1.1999999999999992e-09,8.9263916015624998e-10,280068376.068376,975,13,25,3,12,24,4,1,2
p1b_dm_p2,src_02,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_lower,7.9999999999999946e-06,0.12499999999999997,0.24999999999999994,31250.000000000015,1.1999999999999992e-09,8.9263916015624998e-10,280068376.068376,975,13,25,3,12,24,4,1,2
p1b_dm_p2,src_03,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_lower,7.9999999999999979e-06,0.12500000000000003,0.25000000000000006,31250.000000000015,1.1999999999999996e-09,8.9263916015624978e-10,280068376.06837618,975,13,25,3,12,24,4,1,2
p1b_dm_p2,src_04,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_upper,7.9999999999999979e-06,0.12500000000000003,0.25000000000000006,31250.000000000015,1.1999999999999996e-09,1.0910034179687496e-09,229146853.14685327,1300,13,25,4,12,24,4,1,2
p1b_dm_p2,src_05,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_upper,7.9999999999999946e-06,0.12499999999999997,0.24999999999999994,31250.000000000015,1.1999999999999992e-09,1.0910034179687496e-09,229146853.14685318,1300,13,25,4,12,24,4,1,2
p1b_dm_p2,src_06,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_upper,7.9999999999999946e-06,0.12499999999999997,0.24999999999999994,31250.000000000015,1.1999999999999992e-09,1.0910034179687496e-09,229146853.14685318,1300,13,25,4,12,24,4,1,2
p1b_dm_p2,src_07,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_upper,7.9999999999999979e-06,0.12500000000000003,0.25000000000000006,31250.000000000015,1.1999999999999996e-09,1.0910034179687494e-09,229146853.14685333,1300,13,25,4,12,24,4,1,2
p1b_dm_p4,src_00,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_lower,7.9999999999999979e-06,0.12500000000000003,0.50000000000000011,62500.000000000029,1.1999999999999996e-09,8.9263916015625019e-10,560136752.13675213,975,13,25,3,12,24,4,2,4
p1b_dm_p4,src_01,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_lower,7.9999999999999946e-06,0.12499999999999997,0.49999999999999989,62500.000000000029,1.1999999999999992e-09,8.9263916015624998e-10,560136752.13675201,975,13,25,3,12,24,4,2,4
p1b_dm_p4,src_02,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_lower,7.9999999999999946e-06,0.12499999999999997,0.49999999999999989,62500.000000000029,1.1999999999999992e-09,8.9263916015624998e-10,560136752.13675201,975,13,25,3,12,24,4,2,4
p1b_dm_p4,src_03,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_lower,7.9999999999999979e-06,0.12500000000000003,0.50000000000000011,62500.000000000029,1.1999999999999996e-09,8.9263916015624978e-10,560136752.13675237,975,13,25,3,12,24,4,2,4
p1b_dm_p4,src_04,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_upper,7.9999999999999979e-06,0.12500000000000003,0.50000000000000011,62500.000000000029,1.1999999999999996e-09,1.0910034179687496e-09,458293706.29370654,1300,13,25,4,12,24,4,2,4
p1b_dm_p4,src_05,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_upper,7.9999999999999946e-06,0.12499999999999997,0.49999999999999989,62500.000000000029,1.1999999999999992e-09,1.0910034179687496e-09,458293706.29370636,1300,13,25,4,12,24,4,2,4
p1b_dm_p4,src_06,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_upper,7.9999999999999946e-06,0.12499999999999997,0.49999999999999989,62500.000000000029,1.1999999999999992e-09,1.0910034179687496e-09,458293706.29370636,1300,13,25,4,12,24,4,2,4
p1b_dm_p4,src_07,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_upper,7.9999999999999979e-06,0.12500000000000003,0.50000000000000011,62500.000000000029,1.1999999999999996e-09,1.0910034179687494e-09,458293706.29370666,1300,13,25,4,12,24,4,2,4
