sample_id,package_total_power_W,layer_index,layer_id,bottom_plane_mean_temperature_K,top_plane_mean_temperature_K,top_minus_bottom_temperature_K,absolute_axial_temperature_drop_K,cv_mean_temperature_K,family_id,selection_bin
p1d64b_f01_low_low_q1_30_42p5_a32_l0,1.8,4,silicon_die_lower,335.2253463105463,335.1827849435331,-0.042561367013206564,0.042561367013206564,335.23075114865816,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a32_l0,1.8,5,tim_between_dies,335.1827849435331,335.09138679201936,-0.09139815151371522,0.09139815151371522,335.15716394599144,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a32_l0,1.8,6,silicon_die_upper,335.09138679201936,334.9967740534471,-0.09461273857226615,0.09461273857226615,335.09051142836057,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a32_l0,1.8,7,tim_to_spreader,334.9967740534471,334.80896114514996,-0.1878129082971327,0.1878129082971327,334.9353890675722,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a32_l0,1.8,8,spreader,334.80896114514996,334.7657674839083,-0.04319366124167345,0.04319366124167345,334.78858033275367,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a48_l1,1.8,0,pcb_fr4_equivalent,330.8313860634907,334.03901738395956,3.207631320468863,3.207631320468863,332.3668491766839,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a48_l1,1.8,1,bt_substrate_with_vias,334.03901738395956,335.21734347855516,1.1783260945956044,1.1783260945956044,334.57182374897445,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a48_l1,1.8,2,silicon_interposer_tsv_0p1,335.21734347855516,335.2189941954715,0.0016507169163446633,0.0016507169163446633,335.2213077567142,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a48_l1,1.8,3,bump_underfill_under_interposer,335.2189941954715,335.22602866128386,0.007034465812353119,0.007034465812353119,335.2265338782368,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a48_l1,1.8,4,silicon_die_lower,335.22602866128386,335.1833832866319,-0.04264537465195417,0.04264537465195417,335.23075114865804,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a48_l1,1.8,5,tim_between_dies,335.1833832866319,335.09181816895466,-0.09156511767724851,0.09156511767724851,335.15716394599184,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a48_l1,1.8,6,silicon_die_upper,335.09181816895466,334.9971228292267,-0.09469533972793442,0.09469533972793442,335.0905114283612,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a48_l1,1.8,7,tim_to_spreader,334.9971228292267,334.8091545291625,-0.18796830006419896,0.18796830006419896,334.9353890675726,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a48_l1,1.8,8,spreader,334.8091545291625,334.76593937875384,-0.04321515040868462,0.04321515040868462,334.7885803327538,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q2_42p5_55_a64_l0,2.5,0,pcb_fr4_equivalent,342.8217915091139,347.2778497230367,4.456058213922802,4.456058213922802,344.95395718695494,f01_low_low,q2_42p5_55
p1d64b_f01_low_low_q2_42p5_55_a64_l0,2.5,1,bt_substrate_with_vias,347.2778497230367,348.91567239004274,1.6378226670060485,1.6378226670060485,348.016421870496,f01_low_low,q2_42p5_55
p1d64b_f01_low_low_q2_42p5_55_a64_l0,2.5,2,silicon_interposer_tsv_0p1,348.91567239004274,348.91811054715555,0.0024381571128060386,0.0024381571128060386,348.91848299229815,f01_low_low,q2_42p5_55
p1d64b_f01_low_low_q2_42p5_55_a64_l0,2.5,3,bump_underfill_under_interposer,348.91811054715555,348.92854024059534,0.01042969343978939,0.01042969343978939,348.92574149441236,f01_low_low,q2_42p5_55
p1d64b_f01_low_low_q2_42p5_55_a64_l0,2.5,4,silicon_die_lower,348.92854024059534,348.86915567252214,-0.05938456807319881,0.05938456807319881,348.93159881444143,f01_low_low,q2_42p5_55
p1d64b_f01_low_low_q2_42p5_55_a64_l0,2.5,5,tim_between_dies,348.86915567252214,348.7415931361067,-0.12756253641543935,0.12756253641543935,348.8293943662923,f01_low_low,q2_42p5_55
p1d64b_f01_low_low_q2_42p5_55_a64_l0,2.5,6,silicon_die_upper,348.7415931361067,348.6093213172083,-0.13227181889840267,0.13227181889840267,348.73682142513746,f01_low_low,q2_42p5_55
p1d64b_f01_low_low_q2_42p5_55_a64_l0,2.5,7,tim_to_spreader,348.6093213172083,348.34672708875405,-0.2625942284542475,0.2625942284542475,348.52137370181947,f01_low_low,q2_42p5_55
p1d64b_f01_low_low_q2_42p5_55_a64_l0,2.5,8,spreader,348.34672708875405,348.28653707682173,-0.06019001193232043,0.06019001193232043,348.31747268123814,f01_low_low,q2_42p5_55
p1d64b_f01_low_low_q2_42p5_55_a16_l1,2.5,0,pcb_fr4_equivalent,342.82093852204906,347.2750267126718,4.454088190622713,4.454088190622713,344.9539571869856,f01_low_low,q2_42p5_55
p1d64b_f01_low_low_q2_42p5_55_a16_l1,2.5,1,bt_substrate_with_vias,347.2750267126718,348.91079375909595,1.6357670464241778,1.6357670464241778,348.0164218705033,f01_low_low,q2_42p5_55
p1d64b_f01_low_low_q2_42p5_55_a16_l1,2.5,2,silicon_interposer_tsv_0p1,348.91079375909595,348.9131097702954,0.0023160111994684485,0.0023160111994684485,348.9184829922964,f01_low_low,q2_42p5_55
p1d64b_f01_low_low_q2_42p5_55_a16_l1,2.5,3,bump_underfill_under_interposer,348.9131097702954,348.9229867396846,0.009876969389154056,0.009876969389154056,348.92574149441054,f01_low_low,q2_42p5_55
p1d64b_f01_low_low_q2_42p5_55_a16_l1,2.5,4,silicon_die_lower,348.9229867396846,348.8639453913105,-0.05904134837408037,0.05904134837408037,348.9315988144395,f01_low_low,q2_42p5_55
p1d64b_f01_low_low_q2_42p5_55_a16_l1,2.5,5,tim_between_dies,348.8639453913105,348.7371580390031,-0.12678735230741722,0.12678735230741722,348.8293943662904,f01_low_low,q2_42p5_55
p1d64b_f01_low_low_q2_42p5_55_a16_l1,2.5,6,silicon_die_upper,348.7371580390031,348.6059516754836,-0.13120636351948178,0.13120636351948178,348.7368214251357,f01_low_low,q2_42p5_55
p1d64b_f01_low_low_q2_42p5_55_a16_l1,2.5,7,tim_to_spreader,348.6059516754836,348.3455027274462,-0.2604489480373786,0.2604489480373786,348.5213737018178,f01_low_low,q2_42p5_55
p1d64b_f01_low_low_q2_42p5_55_a16_l1,2.5,8,spreader,348.3455027274462,348.2855609074403,-0.059941820005917634,0.059941820005917634,348.31747268123644,f01_low_low,q2_42p5_55
p1d64b_f01_low_low_q3_55_67p5_a32_l0,3.1,0,pcb_fr4_equivalent,353.09818839929613,358.62181366985243,5.523625270556295,5.523625270556295,355.742906910056,f01_low_low,q3_55_67p5
p1d64b_f01_low_low_q3_55_67p5_a32_l0,3.1,1,bt_substrate_with_vias,358.62181366985243,360.65069377857714,2.0288801087247066,2.0288801087247066,359.5403631175148,f01_low_low,q3_55_67p5
p1d64b_f01_low_low_q3_55_67p5_a32_l0,3.1,2,silicon_interposer_tsv_0p1,360.65069377857714,360.653576758738,0.002882980160848092,0.002882980160848092,360.65891890851,f01_low_low,q3_55_67p5
