sample_id,group_id,split_role,layer_name,operator_point_count,solver_node_count,layer_average_signed_error_K,layer_drop_signed_error_K
p1g_g001_t1_b1_p0,p1g_g001,train,bump_underfill_under_interposer,38,16900,-0.1515138990154128,-0.0030775075845212996
p1g_g001_t1_b1_p0,p1g_g001,train,silicon_die_lower,156,16900,-0.15576731495173135,0.07730736610210442
p1g_g001_t1_b1_p0,p1g_g001,train,tim_between_dies,22,16900,-0.01833687428711528,0.1753327576159336
p1g_g001_t1_b1_p0,p1g_g001,train,silicon_die_upper,158,16900,0.09014532253706875,0.15288829827659356
p1g_g001_t1_b1_p0,p1g_g001,train,tim_to_spreader,22,16900,0.3902775966120089,0.3880565328025227
p1g_g001_t1_b1_p0,p1g_g001,train,spreader,195,71825,0.36469729920446525,-0.5187254627745688
p1g_g001_t1_b1_p1,p1g_g001,train,pcb_fr4_equivalent,269,33800,0.2830895405083993,-3.4985361582538417
p1g_g001_t1_b1_p1,p1g_g001,train,bt_substrate_with_vias,131,33800,0.04738744087916302,0.26502791896109557
p1g_g001_t1_b1_p1,p1g_g001,train,silicon_interposer_tsv_0p1,33,16900,-0.27543374301751555,0.07733854273453744
p1g_g001_t1_b1_p1,p1g_g001,train,bump_underfill_under_interposer,38,16900,-0.22727084851550217,-0.004616261377691444
p1g_g001_t1_b1_p1,p1g_g001,train,silicon_die_lower,156,16900,-0.23365097242202637,0.11596104915008709
p1g_g001_t1_b1_p1,p1g_g001,train,tim_between_dies,22,16900,-0.0275053114260686,0.2629991364249804
p1g_g001_t1_b1_p1,p1g_g001,train,silicon_die_upper,158,16900,0.1352179838101506,0.22933244741386716
p1g_g001_t1_b1_p1,p1g_g001,train,tim_to_spreader,22,16900,0.5854163949227882,0.5820847992044946
p1g_g001_t1_b1_p1,p1g_g001,train,spreader,195,71825,0.5470459488086021,-0.7780881941676512
p1g_g002_t0_b0_p0,p1g_g002,train,pcb_fr4_equivalent,267,33800,0.08820966438929645,-0.8840364430242857
p1g_g002_t0_b0_p0,p1g_g002,train,bt_substrate_with_vias,132,33800,0.04094697479649767,0.12411584071634252
p1g_g002_t0_b0_p0,p1g_g002,train,silicon_interposer_tsv_0p1,28,16900,-0.01909261174864696,0.011398007369734842
p1g_g002_t0_b0_p0,p1g_g002,train,bump_underfill_under_interposer,23,16900,-0.014928268784160537,-0.007152934595751503
p1g_g002_t0_b0_p0,p1g_g002,train,silicon_die_lower,137,16900,-0.026402944468941314,0.055394689759850735
p1g_g002_t0_b0_p0,p1g_g002,train,tim_between_dies,25,16900,0.08812451042120983,0.1554196104866037
p1g_g002_t0_b0_p0,p1g_g002,train,silicon_die_upper,184,16900,0.1810529580990874,0.15689745617379458
p1g_g002_t0_b0_p0,p1g_g002,train,tim_to_spreader,21,16900,0.48751729343700845,0.40324271479590834
p1g_g002_t0_b0_p0,p1g_g002,train,spreader,207,71825,0.41192579021861775,-0.6349621702547097
p1g_g002_t0_b0_p1,p1g_g002,train,pcb_fr4_equivalent,267,33800,0.13231449657882877,-1.326054664492176
p1g_g002_t0_b0_p1,p1g_g002,train,bt_substrate_with_vias,132,33800,0.06142046219360964,0.18617376107107475
p1g_g002_t0_b0_p1,p1g_g002,train,silicon_interposer_tsv_0p1,28,16900,-0.02863891762063986,0.017097011052953803
p1g_g002_t0_b0_p1,p1g_g002,train,bump_underfill_under_interposer,23,16900,-0.022392403174592346,-0.010729401893229351
p1g_g002_t0_b0_p1,p1g_g002,train,silicon_die_lower,137,16900,-0.03960441670221826,0.08309203463886661
p1g_g002_t0_b0_p1,p1g_g002,train,tim_between_dies,25,16900,0.13218676563286635,0.23312941573084345
p1g_g002_t0_b0_p1,p1g_g002,train,silicon_die_upper,184,16900,0.27157943715002375,0.23534618426003817
p1g_g002_t0_b0_p1,p1g_g002,train,tim_to_spreader,21,16900,0.7312759401569906,0.604864072194232
p1g_g002_t0_b0_p1,p1g_g002,train,spreader,207,71825,0.6178886853281256,-0.952443255384992
p1g_g002_t0_b1_p0,p1g_g002,train,pcb_fr4_equivalent,267,33800,0.31695855017142094,-3.0836266024293195
p1g_g002_t0_b1_p0,p1g_g002,train,bt_substrate_with_vias,132,33800,0.061832981828843,0.28911624546122994
p1g_g002_t0_b1_p0,p1g_g002,train,silicon_interposer_tsv_0p1,28,16900,-0.17931026629116786,0.08095027469158822
p1g_g002_t0_b1_p0,p1g_g002,train,bump_underfill_under_interposer,23,16900,-0.12153445230262605,0.007657854474587111
p1g_g002_t0_b1_p0,p1g_g002,train,silicon_die_lower,137,16900,-0.10030486453285903,0.09955109705697396
p1g_g002_t0_b1_p0,p1g_g002,train,tim_between_dies,25,16900,0.03295663433101481,0.14949063524488793
p1g_g002_t0_b1_p0,p1g_g002,train,silicon_die_upper,184,16900,0.13457181011068542,0.1771021500534289
p1g_g002_t0_b1_p0,p1g_g002,train,tim_to_spreader,21,16900,0.44426962770631917,0.39179277368629073
p1g_g002_t0_b1_p0,p1g_g002,train,spreader,207,71825,0.3934330021517667,-0.5878214386864329
p1g_g002_t0_b1_p1,p1g_g002,train,pcb_fr4_equivalent,267,33800,0.47543782524059,-4.625439903487688
p1g_g002_t0_b1_p1,p1g_g002,train,bt_substrate_with_vias,132,33800,0.09274947274093392,0.43367436817970884
p1g_g002_t0_b1_p1,p1g_g002,train,silicon_interposer_tsv_0p1,28,16900,-0.26896539942634945,0.12142541203246537
p1g_g002_t0_b1_p1,p1g_g002,train,bump_underfill_under_interposer,23,16900,-0.18230167844706102,0.01148678171142592
p1g_g002_t0_b1_p1,p1g_g002,train,silicon_die_lower,137,16900,-0.1504572967944,0.1493266455822777
p1g_g002_t0_b1_p1,p1g_g002,train,tim_between_dies,25,16900,0.04943495150024546,0.22423595286858244
p1g_g002_t0_b1_p1,p1g_g002,train,silicon_die_upper,184,16900,0.2018577151699219,0.2656532250787791
