sample_id,family_id,selection_bin,top_h_W_m2K,bottom_h_W_m2K,package_total_power_W,total_source_area_mm2,layout_seed,peak_deltaT_K,mean_deltaT_K,Rth_peak_K_W,top_heat_flux_W,bottom_heat_flux_W,top_heat_fraction,bottom_heat_fraction,energy_balance_relative_error,linear_residual,junction_temperature_K,top_surface_mean_temperature_K,bottom_surface_mean_temperature_K,top_branch_R_ambient_K_W,bottom_branch_R_ambient_K_W,top_internal_R_junction_to_surface_K_W,bottom_internal_R_junction_to_surface_K_W,top_film_R_surface_to_ambient_K_W,bottom_film_R_surface_to_ambient_K_W,effective_R_junction_to_ambient_K_W,parallel_branch_R_effective_K_W,parallel_branch_relative_closure_error,in_30_80_K_window,solver_peak_minus_projected_peak_K,solver_cv_mean_minus_projected_unweighted_mean_K,minimum_source_control_volume_count,minimum_source_in_plane_interval_count,all_layers_covered_by_1024_points,all_interfaces_covered_by_1024_points
p1d64b_f03_1000_100_q2_42p5_55_a32_l0,f03_1000_100,q2_42p5_55,1000.0,100.0,5.0,32.0,0,49.909060324440986,42.64005122460456,9.981812064888198,4.717382819411362,0.28261718108139755,0.9434765638822723,0.05652343621627951,-9.855183336071605e-11,6.858791653462082e-11,349.10347130521495,347.17120137187396,328.2597171788505,10.40904950583216,173.74552784557176,0.4096063447278379,73.75260784432339,9.999443161104322,99.99292000124836,9.820694261042991,9.820694260075143,-9.855189442018509e-11,True,0.0328268849754636,-1.554335691873824,480,7,True,True
p1d64b_f03_1000_100_q2_42p5_55_a48_l1,f03_1000_100,q2_42p5_55,1000.0,100.0,5.0,48.0,1,49.60087518542821,42.64005122460438,9.920175037085642,4.7173828194113,0.2826171810814251,0.9434765638822601,0.056523436216285014,-9.854508320472632e-11,6.894893175289998e-11,348.7988310198608,347.17167738961325,328.26012407837305,10.344471264672686,172.6676022778719,0.34492719640052893,72.67324252155191,9.999544068272156,99.99435975632,9.759766203972163,9.759766203010386,-9.854502824859878e-11,True,0.015060206624127659,-1.4976688547407733,744,7,True,True
p1d64b_f03_1000_100_q3_55_67p5_a64_l0,f03_1000_100,q3_55_67p5,1000.0,100.0,6.2,64.0,0,61.04968163757934,52.87366351766568,9.846722844770861,5.8495546959745734,0.3504453045353739,0.9434765638668666,0.05652343621538289,-8.224954767445436e-11,6.802718918279057e-11,360.2029616774157,358.4941413432381,335.04340324098933,10.291887982318544,171.7898938815396,0.29212827693594723,71.79311039645211,9.999759705382596,99.99678348508749,9.710155109260599,9.710155108461942,-8.224967896342139e-11,True,0.026706849192635218,-2.157464105651094,984,7,True,True
p1d64b_f03_1000_100_q3_55_67p5_a16_l1,f03_1000_100,q3_55_67p5,1000.0,100.0,6.2,16.0,1,63.11867924604809,52.87366351766119,10.18043213645937,5.849554695974678,0.35044530453530104,0.9434765638668836,0.056523436215371134,-8.225469588606048e-11,6.951349484846426e-11,361.9181169833777,358.4917277610827,335.0416812697069,10.585099242851102,176.6841107073259,0.5857521470228858,76.69224088851638,9.999347095828215,99.99186981880953,9.986793061835108,9.986793061013648,-8.225465653316993e-11,True,0.035097365973513206,-2.252348505058336,264,7,True,True
p1d64b_f03_1000_100_q4_67p5_80_a32_l0,f03_1000_100,q4_67p5_80,1000.0,100.0,7.3,32.0,0,72.86722807186544,62.254474786302254,9.9818120646391,6.887378916157718,0.41262108436822253,0.9434765638572217,0.05652343621482501,-7.20466304576099e-11,6.886544680282229e-11,371.69106810378554,368.86995400110743,341.2591870800602,10.40904950584308,173.74552784561178,0.40960634473875185,73.752607844363,9.999443161104328,99.99292000124878,9.82069426079254,9.820694260084993,-7.204643612588469e-11,True,0.00823244774755949,-2.277320270321951,480,7,True,True
p1d64b_f03_1000_100_q4_67p5_80_a48_l1,f03_1000_100,q4_67p5_80,1000.0,100.0,7.3,48.0,1,72.41727776890042,62.25447478630142,9.920175036835674,6.887378916157671,0.412621084368175,0.9434765638572151,0.0565234362148185,-7.203367278614441e-11,6.960728899834596e-11,371.2462932871694,368.8706489870073,341.2597811533545,10.34447126468196,172.66760227792312,0.34492719640977987,72.67324252160235,9.999544068272181,99.99435975632078,9.759766203721837,9.759766203018806,-7.203354137911413e-11,True,0.030872659099998145,-2.340087849729322,744,7,True,True
p1d64b_f04_1500_200_q1_30_42p5_a16_l0,f04_1500_200,q1_30_42p5,1500.0,200.0,5.5,16.0,0,38.94837771723206,29.965991186660148,7.081523221314921,5.202777880206792,0.29722212027726935,0.9459596145830531,0.054040385504958065,-8.801117410619305e-11,6.791028880733921e-11,337.7045025887121,334.6818870672236,314.85906077946197,7.246994481958065,126.85631390267567,0.580961861352488,76.86319506750819,6.666032620605577,49.993118835167486,6.8553641070385645,6.855364106435216,-8.801115051890824e-11,True,0.06083652294927333,-1.7569044096801036,240,7,True,True
p1d64b_f04_1500_200_q1_30_42p5_a32_l1,f04_1500_200,q1_30_42p5,1500.0,200.0,5.5,32.0,1,37.63106111406967,29.96599118665592,6.84201111164903,5.2027778802068525,0.29722212027703965,0.9459596145830641,0.0540403855049163,-8.798039064960118e-11,6.859290445260212e-11,336.82787235565326,334.68223230833496,314.8593292173626,7.0785017549488485,123.90690276122831,0.4124027772703971,73.91288077015894,6.666098977678452,49.99402199106937,6.695976791936956,6.69597679134784,-8.798063816448842e-11,True,0.014199978588806061,-1.7733089492386007,504,7,True,True
p1d64b_f04_1500_200_q2_42p5_55_a48_l0,f04_1500_200,q2_42p5_55,1500.0,200.0,7.2,48.0,0,48.91752503069847,39.228206643648825,6.794100698708121,6.810909224871999,0.3890907756287505,0.9459596145655553,0.05404038550399312,-6.954850275933369e-11,6.809541101435793e-11,347.72411059584846,345.4031402916661,319.452725878508,7.0070102272938986,122.65546650066112,0.3407724618772887,72.66012583221844,6.66623776541661,49.99534066844268,6.628348693867841,6.62834869340685,-6.954843000390701e-11,True,0.003785719766369766,-2.204605237859404,720,7,True,True
p1d64b_f04_1500_200_q2_42p5_55_a64_l1,f04_1500_200,q2_42p5_55,1500.0,200.0,7.2,64.0,1,48.43055506070698,39.22820664364822,6.726465980653747,6.8109092248719705,0.38909077562872574,0.9459596145655514,0.05404038550398969,-6.954111669226708e-11,6.83530897118665e-11,347.4578398274712,345.4039930693832,319.45327099957376,6.9679154809706505,121.97112550608487,0.30155250793650407,71.97438382507349,6.666362973034147,49.996741681011386,6.591366642704336,6.591366642245965,-6.954113519784086e-11,True,0.022011994910371868,-1.9148061047390428,984,7,True,True
