sample_id,group_id,split_role,layer_name,operator_point_count,solver_node_count,layer_average_signed_error_K,layer_drop_signed_error_K
p1g_v1_g002_t1_b0_p1,p1g_v1_g002,train,bt_substrate_with_vias,132,33800,0.03795213969772249,0.11431617435391672
p1g_v1_g002_t1_b0_p1,p1g_v1_g002,train,silicon_interposer_tsv_0p1,28,16900,-0.07281029574056674,-0.0017528782794329345
p1g_v1_g002_t1_b0_p1,p1g_v1_g002,train,bump_underfill_under_interposer,23,16900,-0.08360983598225857,-0.01832291743613723
p1g_v1_g002_t1_b0_p1,p1g_v1_g002,train,silicon_die_lower,137,16900,-0.11438854001158916,0.06196005894753398
p1g_v1_g002_t1_b0_p1,p1g_v1_g002,train,tim_between_dies,25,16900,0.042386004556988155,0.22748867693087504
p1g_v1_g002_t1_b0_p1,p1g_v1_g002,train,silicon_die_upper,184,16900,0.16854181029259507,0.22230779163243142
p1g_v1_g002_t1_b0_p1,p1g_v1_g002,train,tim_to_spreader,21,16900,0.6244103816204074,0.606838369354648
p1g_v1_g002_t1_b0_p1,p1g_v1_g002,train,spreader,207,71825,0.5837127649047034,-0.8161962557936135
p1g_v1_g002_t1_b1_p0,p1g_v1_g002,train,pcb_fr4_equivalent,267,33800,0.23834924433236893,-2.304380734473966
p1g_v1_g002_t1_b1_p0,p1g_v1_g002,train,bt_substrate_with_vias,132,33800,0.009054712567490242,0.16367093651786035
p1g_v1_g002_t1_b1_p0,p1g_v1_g002,train,silicon_interposer_tsv_0p1,28,16900,-0.21143263717289074,0.06085530930317873
p1g_v1_g002_t1_b1_p0,p1g_v1_g002,train,bump_underfill_under_interposer,23,16900,-0.16732708754398118,0.00784797320409325
p1g_v1_g002_t1_b1_p0,p1g_v1_g002,train,silicon_die_lower,137,16900,-0.15222937866690245,0.08866152924707649
p1g_v1_g002_t1_b1_p0,p1g_v1_g002,train,tim_between_dies,25,16900,-0.024931829690160612,0.1507015941310783
p1g_v1_g002_t1_b1_p0,p1g_v1_g002,train,silicon_die_upper,184,16900,0.0706799676518699,0.17006958114535564
p1g_v1_g002_t1_b1_p0,p1g_v1_g002,train,tim_to_spreader,21,16900,0.3815595421496596,0.3975747385023283
p1g_v1_g002_t1_b1_p0,p1g_v1_g002,train,spreader,207,71825,0.37632997638439747,-0.5069388938096608
p1g_v1_g002_t1_b1_p1,p1g_v1_g002,train,pcb_fr4_equivalent,267,33800,0.35752386648618995,-3.456571101594534
p1g_v1_g002_t1_b1_p1,p1g_v1_g002,train,bt_substrate_with_vias,132,33800,0.013582068851064832,0.24550640477002617
p1g_v1_g002_t1_b1_p1,p1g_v1_g002,train,silicon_interposer_tsv_0p1,28,16900,-0.31714895574890534,0.09128296395044799
p1g_v1_g002_t1_b1_p1,p1g_v1_g002,train,bump_underfill_under_interposer,23,16900,-0.2509906313088095,0.011771959805855658
