sample_id,split_role,full_field_cv_rmse_K,full_field_cv_relative_rmse,full_field_max_abs_error_K,max_abs_layer_average_error_K,max_abs_layer_drop_error_K,solver_peak_minus_projected_peak_K,energy_balance_relative_error
p1g_g025_t1_b0_p0,train,0.45299350599069105,0.016178345463358054,2.0812604216705495,0.5211395214801655,0.6055060214155219,0.05785450507266887,-1.1855855880371635e-10
p1g_g025_t1_b0_p1,train,0.679490258977059,0.016178345463711212,3.121890632501959,0.7817092822205041,0.9082590321009434,0.08678175760030626,-8.270514365952646e-11
p1g_g025_t1_b1_p0,train,1.0969184019784695,0.044264327215107056,4.9378558616179475,1.2197640629046873,1.9354364264284527,0.05786362736967021,-1.1810280531321382e-10
p1g_g025_t1_b1_p1,train,1.6453776029142213,0.044264327215211965,7.406783792178203,1.8296460942875115,2.9031546395432883,0.0867954410508105,-8.22764819237894e-11
p1g_g026_t0_b0_p0,train,0.4966206150121,0.012814058701906335,1.8788104477840193,0.5243416612558462,0.8095507590639386,0.023333221909524582,-1.2017393330454595e-10
p1g_g026_t0_b0_p1,train,0.7449309225027255,0.012814058702082104,2.818215671581811,0.7865124918843662,1.2143261385620576,0.034999832855021396,-8.513238956379492e-11
p1g_g026_t0_b1_p0,train,1.4456232953342318,0.04266219808782919,6.658006228830061,1.6643515712682415,2.614833353280403,0.02281620997405298,-1.194855048236576e-10
p1g_g026_t0_b1_p1,train,2.1684349429296432,0.04266219808788811,9.987009342906731,2.496527356814113,3.9222500297930765,0.03422431495334877,-8.443623578102688e-11
p1g_g026_t1_b0_p0,train,0.4163718045161279,0.014848862674629336,1.4884301094211878,0.5272331581089134,0.6131972094091225,0.023540307101086455,-1.185390015312482e-10
p1g_g026_t1_b0_p1,train,0.6245577067646535,0.0148488626749211,2.2326451641463336,0.7908497371642511,0.9197958140895821,0.03531046064881593,-8.269760570778217e-11
p1g_g026_t1_b1_p0,train,1.077555747338133,0.04342702755350219,4.895589060517182,1.2091516942775797,1.9458105931892646,0.023168937018624547,-1.1816850969958992e-10
p1g_g026_t1_b1_p1,train,1.616333620954732,0.04342702755361027,7.343383590524979,1.813727541349806,2.9187158896892242,0.034753405523019865,-8.232753367920509e-11
p1g_g027_t0_b0_p0,train,0.6340486533010388,0.016356807140669755,4.446176745751586,0.528594878897934,0.8389607374187449,0.012626919322713093,-1.200633967246567e-10
p1g_g027_t0_b0_p1,train,0.9510729799396141,0.016356807141027434,6.669265118633518,0.7928923183472989,1.258441106096484,0.01894037898443912,-8.501630418174717e-11
p1g_g027_t0_b1_p0,train,1.5127140349619863,0.044627529990422736,6.9930538108762335,1.6799642461911617,2.641684756956124,0.012078840087042408,-1.1939074728850585e-10
p1g_g027_t0_b1_p1,train,2.2690710523737563,0.044627529990597825,10.489580716120656,2.5199463691984647,3.9625271353056064,0.018118260130449926,-8.432532450086683e-11
p1g_g027_t1_b0_p0,train,0.5695283571658633,0.02030017099779842,4.45236197284288,0.5314876519442464,0.6426171324793017,0.01277698432551233,-1.184348799587731e-10
p1g_g027_t1_b0_p1,train,0.8542925357410316,0.020300170998321626,6.678542959266736,0.797231477916398,0.9639256986941973,0.01916547648585265,-8.258424037214478e-11
p1g_g027_t1_b1_p0,train,1.1595683202406852,0.04669852448264764,5.624959096620955,1.2247508651078647,1.9726602511261149,0.012374727318388068,-1.1805316446622527e-10
p1g_g027_t1_b1_p1,train,1.7393524803111542,0.046698524482938195,8.437438644776535,1.8371262975951481,2.958990376594045,0.018562090974683088,-8.221546591672772e-11
p1g_g028_t0_b0_p0,train,0.626502520788435,0.016166644998708932,3.470771465343944,0.5302522311004054,0.8522592985568167,0.0,-1.201107824311265e-10
p1g_g028_t0_b0_p1,train,0.9397537811727896,0.016166644999100987,5.206157198019753,0.7953783466505229,1.2783889478153583,0.0,-8.502990672676347e-11
p1g_g028_t0_b1_p0,train,1.5203719314256927,0.04486782974533095,6.988353702110544,1.6904487637341958,2.657247687513973,0.0,-1.1935252786088313e-10
p1g_g028_t0_b1_p1,train,2.280557897065875,0.04486782974543968,10.482530552848061,2.535673145508156,3.985871531135558,0.0,-8.434438332945622e-11
p1g_g028_t1_b0_p0,train,0.5579727111423033,0.019898635895594676,3.4762511814838035,0.5331431038720211,0.6558988289201579,0.0,-1.1848045461393397e-10
p1g_g028_t1_b0_p1,train,0.8369590667069787,0.01989863589614186,5.21437677223048,0.799714655807918,0.9838482433648323,0.0,-8.262288307229564e-11
p1g_g028_t1_b1_p0,train,1.1642200014380715,0.04691337673077859,5.5331874679907855,1.2352285664969713,1.9882015701630849,0.0,-1.1797073040664685e-10
p1g_g028_t1_b1_p1,train,1.7463300021045187,0.04691337673099454,8.299781201765484,1.8528428496745164,2.98230235514211,0.0,-8.217750554114407e-11
p1g_g029_t0_b0_p0,train,0.5750624343069939,0.014839952422791758,3.977224585946601,0.5159250058702014,0.7946312896436325,0.1295364667139438,-1.2014118866421342e-10
p1g_g029_t0_b0_p1,train,0.8625936514479015,0.014839952423085948,5.965836878926154,0.77388750880624,1.1919469344322806,0.19430470006597034,-8.509801197043032e-11
