sample_id,source_id,active_layer,slot_index,declared_source_area_m2,package_power_fraction,source_power_W,surface_power_density_W_m2,surface_power_density_W_cm2,realized_source_control_volume_m3,q_W_m3,covered_control_volume_count,covered_x_node_count,covered_y_node_count,covered_z_node_count,resolved_x_interval_count,resolved_y_interval_count,group_id,split_role
p1f_g050_t1_b0_p0,src_02,silicon_die_upper,0,4.511367067556436e-06,0.20607799876715133,0.8243119950686053,182718.89268258782,18.271889268258782,6.042480468750002e-10,1364194719.9195983,720,12,15,4,11,14,p1f_g050,train
p1f_g050_t1_b0_p0,src_03,silicon_die_upper,5,4.756558243869512e-06,0.1862919847966088,0.7451679391864352,156661.16149147224,15.666116149147225,7.049560546875004e-10,1057041689.6649824,840,14,15,4,13,14,p1f_g050,train
p1f_g050_t1_b0_p0,src_04,silicon_die_upper,10,5.2306904885305975e-06,0.22763001643623987,0.9105200657449595,174072.6329996907,17.407263299969067,6.982421875000001e-10,1304017548.7032704,832,13,16,4,12,15,p1f_g050,train
p1f_g050_t1_b0_p1,src_00,silicon_die_lower,0,5.289592381793092e-06,0.1970548625630873,1.1823291753785239,223519.90286588628,22.351990286588627,5.712890624999987e-10,2069581325.7907884,624,13,16,3,12,15,p1f_g050,train
p1f_g050_t1_b0_p1,src_01,silicon_die_lower,5,4.8413012274036426e-06,0.1829451374369127,1.0976708246214764,226730.53649465845,22.673053649465846,5.712890624999988e-10,1921393033.18358,624,13,16,3,12,15,p1f_g050,train
p1f_g050_t1_b0_p1,src_02,silicon_die_upper,0,4.511367067556436e-06,0.20607799876715133,1.236467992602908,274078.33902388177,27.407833902388177,6.042480468750002e-10,2046292079.8793979,720,12,15,4,11,14,p1f_g050,train
p1f_g050_t1_b0_p1,src_03,silicon_die_upper,5,4.756558243869512e-06,0.1862919847966088,1.1177519087796528,234991.74223720835,23.499174223720836,7.049560546875004e-10,1585562534.4974737,840,14,15,4,13,14,p1f_g050,train
p1f_g050_t1_b0_p1,src_04,silicon_die_upper,10,5.2306904885305975e-06,0.22763001643623987,1.365780098617439,261108.94949953601,26.1108949499536,6.982421875000001e-10,1956026323.0549054,832,13,16,4,12,15,p1f_g050,train
p1f_g050_t1_b1_p0,src_00,silicon_die_lower,0,5.289592381793092e-06,0.1970548625630873,0.7882194502523492,149013.2685772575,14.90132685772575,5.712890624999987e-10,1379720883.8605256,624,13,16,3,12,15,p1f_g050,train
p1f_g050_t1_b1_p0,src_01,silicon_die_lower,5,4.8413012274036426e-06,0.1829451374369127,0.7317805497476508,151153.69099643896,15.115369099643896,5.712890624999988e-10,1280928688.7890532,624,13,16,3,12,15,p1f_g050,train
p1f_g050_t1_b1_p0,src_02,silicon_die_upper,0,4.511367067556436e-06,0.20607799876715133,0.8243119950686053,182718.89268258782,18.271889268258782,6.042480468750002e-10,1364194719.9195983,720,12,15,4,11,14,p1f_g050,train
p1f_g050_t1_b1_p0,src_03,silicon_die_upper,5,4.756558243869512e-06,0.1862919847966088,0.7451679391864352,156661.16149147224,15.666116149147225,7.049560546875004e-10,1057041689.6649824,840,14,15,4,13,14,p1f_g050,train
p1f_g050_t1_b1_p0,src_04,silicon_die_upper,10,5.2306904885305975e-06,0.22763001643623987,0.9105200657449595,174072.6329996907,17.407263299969067,6.982421875000001e-10,1304017548.7032704,832,13,16,4,12,15,p1f_g050,train
p1f_g050_t1_b1_p1,src_00,silicon_die_lower,0,5.289592381793092e-06,0.1970548625630873,1.1823291753785239,223519.90286588628,22.351990286588627,5.712890624999987e-10,2069581325.7907884,624,13,16,3,12,15,p1f_g050,train
