sample_id,package_total_power_W,interface_index,interface_z_m,lower_layer,upper_layer,perfect_contact_temperature_jump_K,adjacent_plane_upper_minus_lower_K,family_id,selection_bin
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,3.6,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,-0.0001653353446613437,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,3.6,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.14250781620523867,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,3.6,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.03547770607355005,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,3.6,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.28378474189639746,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,3.6,7,0.003175,tim_to_spreader,spreader,0.0,-0.06177086347452132,f00_near_adiabatic,q4_67p5_80
p1d64b_f01_low_low_q1_30_42p5_a32_l0,1.8,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.48804571288508214,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a32_l0,1.8,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.07883555354487726,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a32_l0,1.8,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,0.0034250509623916514,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a32_l0,1.8,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,0.0012134618124264307,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a32_l0,1.8,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.06626768753318402,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a32_l0,1.8,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.016529963864343244,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a32_l0,1.8,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.13663622155166877,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a32_l0,1.8,7,0.003175,tim_to_spreader,spreader,0.0,-0.029741534305401274,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a48_l1,1.8,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.4881591916174557,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a48_l1,1.8,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.07885049399914124,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a48_l1,1.8,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,0.0033742756152719267,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a48_l1,1.8,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,0.001194858180895153,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a48_l1,1.8,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.06638855436352742,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a48_l1,1.8,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.01655920374400921,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a48_l1,1.8,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.136749316904627,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a48_l1,1.8,7,0.003175,tim_to_spreader,spreader,0.0,-0.02976609897035587,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q2_42p5_55_a64_l0,2.5,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.678399605708023,f01_low_low,q2_42p5_55
p1d64b_f01_low_low_q2_42p5_55_a64_l0,2.5,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.10962541141083193,f01_low_low,q2_42p5_55
