sample_id,group_id,split_role,full_field_cv_rmse_K,full_field_cv_relative_rmse,full_field_max_abs_error_K,max_abs_layer_average_error_K,max_abs_layer_drop_error_K
p1g_v1_g091_t1_b1_p0,p1g_v1_g091,train,0.9302319224335082,0.03751075764946545,6.436218108785113,0.4210883293560528,1.8065934577522285
p1g_v1_g091_t1_b1_p1,p1g_v1_g091,train,1.3953478836092492,0.037510757649669206,9.65432716285244,0.6316324940112281,2.7098901865328457
p1g_v1_g092_t0_b0_p0,p1g_v1_g092,train,0.5871272628219804,0.015135420750912384,4.291823610770905,0.4674620577389419,0.8834579884985487
p1g_v1_g092_t0_b0_p1,p1g_v1_g092,train,0.880690894224299,0.015135420751284698,6.437735416163434,0.7011930866108287,1.3251869827068958
p1g_v1_g092_t0_b1_p0,p1g_v1_g092,train,1.2545261501755172,0.03698486025483435,9.137310149311134,0.4032933301425601,3.050067502094464
p1g_v1_g092_t0_b1_p1,p1g_v1_g092,train,1.881789225209054,0.0369848602550375,13.705965223504734,0.6049399952199224,4.575101252987679
p1g_v1_g092_t1_b0_p0,p1g_v1_g092,train,0.5413831617019379,0.019275871138402723,4.298603930581692,0.47443225556475,0.6493068241460378
p1g_v1_g092_t1_b0_p1,p1g_v1_g092,train,0.8120747425479339,0.019275871138958494,6.447905895876943,0.7116483833493135,0.9739602361873949
p1g_v1_g092_t1_b1_p0,p1g_v1_g092,train,0.9811124896382222,0.0394694408653703,6.720741195992787,0.427246581088923,2.2524143300320816
p1g_v1_g092_t1_b1_p1,p1g_v1_g092,train,1.4716687344191401,0.039469440865715674,10.081111793648745,0.6408698716381878,3.3786214949332134
p1g_v1_g093_t0_b0_p0,p1g_v1_g093,train,0.5074132310991883,0.013099447990272926,3.516239302708982,0.4236705448930138,0.8829966833271783
p1g_v1_g093_t0_b0_p1,p1g_v1_g093,train,0.7611198466393387,0.01309944799056162,5.274358954058869,0.6355058173409134,1.324495024945918
p1g_v1_g093_t0_b1_p0,p1g_v1_g093,train,1.1528661265671327,0.03403594920108225,8.181099606205294,0.3767743839500213,3.1319406810949886
p1g_v1_g093_t0_b1_p1,p1g_v1_g093,train,1.729299189798719,0.03403594920123027,12.271649408862174,0.5651615759289257,4.697911021480877
p1g_v1_g093_t1_b0_p0,p1g_v1_g093,train,0.46083624469777656,0.016444852725678714,3.5220878500641675,0.4287788880524772,0.637597337246973
p1g_v1_g093_t1_b0_p1,p1g_v1_g093,train,0.691254367041036,0.01644485272611954,5.28313177509466,0.6431683320804495,0.9563960058382577
p1g_v1_g093_t1_b1_p0,p1g_v1_g093,train,0.8901726720316179,0.03589081445809139,5.897318113837912,0.39419739108996055,2.295781634606385
p1g_v1_g093_t1_b1_p1,p1g_v1_g093,train,1.3352590080103435,0.03589081445834532,8.845977170426465,0.5912960866385788,3.443672451789439
p1g_v1_g094_t0_b0_p0,p1g_v1_g094,train,0.45556400407355846,0.011759209704651365,2.616513270069163,0.45129718829531384,0.7314061206471933
p1g_v1_g094_t0_b0_p1,p1g_v1_g094,train,0.6833460061006194,0.011759209704889174,3.924769905104597,0.676945782444534,1.0971091809329891
p1g_v1_g094_t0_b1_p0,p1g_v1_g094,train,1.1144550080778723,0.032898902998118665,6.8093356296095635,0.4089497388836776,2.617252000793826
p1g_v1_g094_t0_b1_p1,p1g_v1_g094,train,1.6716825120653858,0.03289890299824082,10.214003444074933,0.6134246083292396,3.9258780010554233
