sample_id,seed,model,label,sse,truth_sse,cv_sse,cv_truth_energy,absolute_error_sum,node_count,hotspot_sse,hotspot_count,sample_first_relative_rmse_pct,point_global_relative_rmse_pct,rmse_K,mae_K,peak_temperature_absolute_error_K,true_hotspot_region_rmse_K
v6p1if1_0619,0,Heat3D,heat3d_seed0,3168818.0062102024,1378043003.9156408,4.720716681843756e-06,0.00212633719120745,779067.4124031067,240825,195723.3074284753,2409,4.711811422037663,4.795316351895048,3.627420174909548,3.234993926723167,6.803375244140625,9.013695299881254
v6p1if1_0619,1,Heat3D,heat3d_seed1,2582579.1947429236,1378043003.9156408,3.401245238470002e-06,0.00212633719120745,629271.0473365784,240825,273441.86504198314,2409,3.9994742565767063,4.329078277571208,3.274734080186117,2.6129805765040106,8.900421142578125,10.654034622276303
v6p1if1_0619,2,Heat3D,heat3d_seed2,4873494.983367983,1378043003.9156408,6.448136939047861e-06,0.00212633719120745,979142.0291938782,240825,323497.6455193356,2409,5.506822247745793,5.9468759093485115,4.49851815151454,4.065782328221232,11.419921875,11.588231486055259
v6p1if1_0619,0,Therm-FM,thermfm_seed0,640710.2352491545,1378043003.9156408,9.084884131463489e-07,0.00212633719120745,283942.211517334,240825,137478.60709219187,2409,2.0670150019443057,2.156251654327145,1.6310979670814347,1.1790395993660707,10.0013427734375,7.554385822866556
v6p1if1_0619,1,Therm-FM,thermfm_seed1,598107.2832676449,1378043003.9156408,8.477380043228408e-07,0.00212633719120745,278082.09813690186,240825,149152.8625336287,2409,1.9967089236286433,2.0833304433128266,1.5759366695566863,1.1547061066621067,9.091232299804688,7.86859869261885
v6p1if1_0619,2,Therm-FM,thermfm_seed2,922873.3741602525,1378043003.9156408,1.2988335459436502e-06,0.00212633719120745,343162.07596969604,240825,84125.79933854594,2409,2.471500375506291,2.587853415703739,1.9575834003365837,1.4249437391038973,7.33868408203125,5.909438290788594
v6p1if1_0632,0,Heat3D,heat3d_seed0,583419.1428377456,949748642.0686939,9.286010596006901e-07,0.0014244063872481992,329935.53760147095,240825,10174.887703853834,2409,2.553275225135843,2.4784832989152092,1.5564656943365676,1.3700219561983638,0.04862213134765625,2.0551636618487934
v6p1if1_0632,1,Heat3D,heat3d_seed1,533247.6361514595,949748642.0686939,9.506837166126484e-07,0.0014244063872481992,319004.0313529968,240825,9218.509469964716,2409,2.5834560128945796,2.369518636530733,1.4880368455439872,1.3246300481802007,0.18578338623046875,1.9561941376928846
v6p1if1_0632,2,Heat3D,heat3d_seed2,663088.041508123,949748642.0686939,1.1383682125155947e-06,0.0014244063872481992,349935.4811668396,240825,7239.437533116608,2409,2.8269909867574072,2.6422947216244617,1.6593378258127052,1.4530695781868146,0.5555953979492188,1.733540580552894
v6p1if1_0632,0,Therm-FM,thermfm_seed0,133182.47961570503,949748642.0686939,1.7069521613441383e-07,0.0014244063872481992,125166.28081703186,240825,3727.479894417571,2409,1.094696472660671,1.184184051012939,0.743657160001383,0.519739565315195,1.3416595458984375,1.2439108466625812
