comparison,baseline,candidate,sample_id,deltaT_quartile,true_scale_cv_rms_K,point_true_squared_sum,baseline_point_sse_K2,candidate_point_sse_K2,delta_point_sse_K2,baseline_sample_relative_pct,candidate_sample_relative_pct,delta_sample_relative_pct
V46_minus_V38,V38,V46,sample_0108,Q2,0.2914894514933416,77.55964209641094,0.7224508042274631,0.883053611360449,0.16060280713298591,9.333748416775615,10.345526314951266,1.0117778981756531
V46_minus_V38,V38,V46,sample_0130,Q2,0.3034592316489574,76.2737900170437,1.5859073261038437,1.3816431806661935,-0.20426414543765015,14.708282677994836,13.95720820748109,-0.7510744705137462
V46_minus_V38,V38,V46,sample_0153,Q3,0.5671374625740733,269.80825827908126,67.61760699007881,17.589787627666205,-50.02781936241261,51.56359685276314,25.992784822893718,-25.570812029869423
V46_minus_V38,V38,V46,sample_0155,Q2,0.23407834265904284,48.31053007844882,0.5255824727978307,0.2600095166683923,-0.2655729561294384,10.245729962995863,7.478251936415488,-2.7674780265803762
V46_minus_V38,V38,V46,sample_0162,Q1,0.104607551461206,9.74810167550385,0.02659115573448283,0.03134427224633836,0.004753116511855528,5.016710975425676,5.29719480542005,0.2804838299943747
V46_minus_V38,V38,V46,sample_0169,Q4,1.3291137206236883,1446.643988493216,10.282855279932289,7.257749451048918,-3.0251058288833708,8.111552821006091,6.9126263320844235,-1.1989264889216686
V46_minus_V38,V38,V46,sample_0171,Q1,0.07917458795069666,4.522029030624914,0.11631416690264704,0.1145727348980384,-0.001741432004608634,15.565369329539378,15.791293778983459,0.22592444944408152
V46_minus_V38,V38,V46,sample_0194,Q4,0.9539930273758233,837.5578566425703,20.479010486633616,10.293133183530655,-10.185877303102961,14.844235356148,10.512781388024008,-4.331453968123992
V46_minus_V38,V38,V46,sample_0195,Q3,0.47324039844335775,200.8743728297319,3.6013721849523277,6.9235542891121655,3.322182104159838,13.367958690826923,18.07407650674987,4.706117815922947
V46_minus_V38,V38,V46,sample_0196,Q1,0.11565347010374963,12.116959260659277,0.052671158147118716,0.040606233464905245,-0.012064924682213471,5.881457731340953,5.613258849277859,-0.26819888206309483
V46_minus_V38,V38,V46,sample_0206,Q1,0.057751311223483696,3.0892330235724597,0.18798811577272942,0.3507818029705731,0.16279368719784368,24.841823714003368,32.72631821408827,7.884494500084904
V46_minus_V38,V38,V46,sample_0213,Q3,0.5267958684596359,200.7249510433949,1.8437557499181823,8.443055821146972,6.5993000712287895,9.18120836450165,19.94475634957241,10.76354798507076
V46_minus_V38,V38,V46,sample_0224,Q3,0.6197833329296856,320.237723094359,8.087136498363792,4.095847118608969,-3.9912893797548232,15.046684943907529,10.213524008326976,-4.833160935580552
V46_minus_V38,V38,V46,sample_0226,Q1,0.058075400567802395,2.589466040242577,0.16902507567803818,0.09070250660788066,-0.07832256907015751,25.547260587483304,18.439066449500647,-7.108194137982659
V46_minus_V38,V38,V46,sample_0229,Q4,0.8969272992883323,684.3413259684132,53.690506036123494,28.784960062106812,-24.905545974016682,26.870967101485977,19.79831978008926,-7.072647321396719
V46_minus_V38,V38,V46,sample_0234,Q3,0.38896814091839,112.22124107050782,2.4618480736094877,1.768527572668049,-0.6933205009414387,14.801873102627955,12.221945551293652,-2.579927551334302
V46_minus_V38,V38,V46,sample_0240,Q1,0.08668854138869422,5.4059686157488205,0.1635826838120413,0.12034071991710162,-0.043241963894939686,16.510216429168935,14.448626561965918,-2.061589867203015
V46_minus_V38,V38,V46,sample_0262,Q4,1.4815468124091347,1545.3241113879365,25.781909630952633,26.22708958691214,0.44517995595950666,12.817312086201547,12.474386868641371,-0.3429252175601749
V46_minus_V38,V38,V46,sample_0265,Q2,0.2449745382555374,53.396676743242665,13.270940621895399,10.956756281931558,-2.314184339963841,49.26041007080994,45.47992008170622,-3.7804899891037245
V46_minus_V38,V38,V46,sample_0271,Q4,1.3831723659142101,1853.273310980898,76.10690707076384,86.62167680588732,10.51476973512348,19.68697933129019,20.16197152016889,0.47499218887870065
V46_minus_V38,V38,V46,sample_0281,Q4,1.4172206963127103,1615.1042070611625,28.86383518132779,23.561673104871886,-5.302162076455904,13.647422124754105,12.255082681980236,-1.3923394427738698
V46_minus_V38,V38,V46,sample_0283,Q2,0.25939914864171104,47.53182930507547,3.954299563023042,3.0488131194365073,-0.9054864435865349,28.92731971637586,25.380454288781763,-3.5468654275940983
V46_minus_V38,V38,V46,sample_0304,Q2,0.22636690019492287,46.434051271630125,6.040059296093158,5.504755026725665,-0.5353042693674936,34.29590293454548,32.360298170900954,-1.9356047636445273
